Hugo_Symbol	C3N-01021	C3L-00893	C3N-02002	C3N-00737	C3L-02345	C3N-02155	C3N-00738	C3N-02588	C3N-01024	C3L-01682	C3N-00223	C3L-02348	C3N-00167	C3N-00294	C3N-02423	C3N-02729	C3N-01071	C3N-01030	C3N-02003	C3N-01016	C3N-02572	C3N-00175	C3L-00412	C3L-01924	C3N-01413	C3N-02586	C3N-01842	C3N-02379	C3L-00279	C3L-00080	C3L-00913	C3N-01415	C3N-02000	C3N-02089	C3N-00559	C3N-01410	C3L-02365	C3N-02149	X11LU013	C3L-00095	C3L-00973	C3L-01330	C3N-01489	C3N-02087	C3N-02433	C3N-00959	C3N-01023	C3N-00560	C3N-02067	C3N-02529	C3N-02380	C3N-02158	C3N-00579	C3N-01416	C3N-00199	X11LU022	C3N-00556	C3N-00293	C3N-01799	C3N-00550	C3N-00203	C3L-00001	C3N-00217	C3L-00093	C3N-01405	C3N-00552	C3L-00009	C3L-00094	C3L-00604	C3N-00546	C3L-01862	C3N-00433	C3N-02421	C3N-02424	X11LU035	C3L-00263	C3L-02219	C3N-01414	C3N-00549	C3N-02587	C3L-01632	C3N-01074	C3N-01823	C3N-00547	C3N-00180	C3N-00578	C3L-00510	C3N-00574	C3N-01488	X11LU016	C3N-00572	C3L-02350	C3N-00704	C3L-01889	C3L-01683	C3L-00422	C3N-00169	C3L-00083	C3N-02145	C3L-01890	C3N-01072	C3N-00551	C3L-02508	C3N-02582	C3N-02422	C3L-02549	C3L-00368
hsa-let-7f-5p	14.4366	14.6089	14.1538	14.0011	13.3085	12.9511	14.2773	13.5266	13.867	14.041	13.921	13.9317	14.3843	13.4724	13.7239	14.0727	13.9812	13.7419	13.4146	13.7244	13.8293	13.5159	14.5483	13.4124	13.8834	14.2317	13.5029	13.5396	13.9308	13.705	13.9511	13.112	13.6422	12.9423	13.6911	13.1567	13.3217	13.5741	13.549	14.7479	13.9268	14.2854	13.0578	14.1218	13.7556	14.1735	13.8514	13.2944	13.686	13.8314	13.8862	13.8967	14.2674	14.1931	13.9997	13.7864	13.6391	13.9868	13.8491	13.5206	13.5877	13.7003	13.9447	13.76	14.7008	14.0216	13.8109	13.8783	13.9195	14.4386	14.1405	13.9965	13.7407	13.5595	13.5006	13.851	13.6574	13.7646	13.8368	14.616	14.2203	13.7408	13.6599	13.5648	13.3333	13.7882	14.0174	14.4006	13.4249	13.6597	14.0324	14.1377	14.2384	13.6828	13.824	14.5523	13.8662	14.1344	13.8168	14.5621	14.3084	13.5665	14.2706	13.7513	13.8893	14.0531	14.5552
hsa-miR-23a-3p	13.6593	13.913	14.0229	13.3093	13.9598	12.8654	13.9651	13.4926	13.6942	13.7662	13.4185	13.4087	14.1355	13.1748	13.3946	13.4545	13.8351	14.3496	13.2577	13.4481	13.8373	13.652	14.0392	13.2256	13.474	13.595	13.4175	13.3206	14.2241	13.0173	13.6125	13.2261	13.4431	13.5407	13.3842	13.2857	13.5465	13.4326	13.8315	13.7828	13.6314	13.8929	13.4097	13.9547	13.2936	13.8588	13.2418	13.3999	13.7526	13.1771	13.908	13.3739	13.6815	13.7566	13.754	13.165	13.7517	14.0102	13.5613	13.5594	13.747	13.9453	13.8763	13.9503	11.1358	13.7613	14.4131	13.3462	13.4761	13.8226	13.8652	13.824	13.9291	13.4963	13.6784	13.6843	13.3948	13.6197	13.6495	13.4079	13.7288	13.5532	13.2132	13.9246	13.5625	13.5578	13.3911	13.787	13.5279	13.5335	13.8092	13.5715	13.9295	13.4924	13.8309	13.9014	13.5873	14.1907	13.8402	13.9503	14.0183	13.6038	13.7643	13.4123	13.6459	13.4163	13.4251
hsa-miR-26a-5p	15.5332	15.7482	15.6784	15.0836	15.0301	14.2535	15.5212	14.6801	15.1637	16.0353	15.5583	15.7166	15.4867	14.76	14.8227	15.4771	15.2272	14.9953	14.5199	14.9274	15.1851	15.1646	15.6029	15.0784	15.0439	15.5574	14.7404	14.9237	15.1908	16.5772	14.884	14.9272	15.7303	14.5816	15.9484	14.4725	14.6518	14.9514	15.142	15.5407	15.346	15.8127	14.533	14.9822	16.4144	15.4669	14.7273	14.6295	15.5165	15.064	15.7765	15.6386	15.1176	15.2454	15.4525	14.9209	15.1146	15.6918	15.5963	15.0482	14.8698	15.6161	15.4611	15.2519	14.3894	15.363	15.2301	15.054	14.9893	15.3056	15.6178	15.3734	15.4366	14.729	14.9664	15.3229	16.7622	15.1119	15.4162	15.4378	15.4681	14.5583	15.3436	15.1196	14.8223	15.3728	15.8633	15.5595	14.9511	14.8722	15.5358	15.768	15.4262	16.3282	15.3679	15.4403	14.5327	15.8427	15.3369	15.6608	15.9306	15.0423	15.5527	15.3352	15.1673	15.1711	15.8691
hsa-let-7a-5p	14.5588	14.6911	14.2329	14.1249	13.41	13.1014	14.4204	13.7144	13.9327	14.1501	14.021	14.025	14.5221	13.526	13.7579	14.163	14.1336	13.8558	13.4889	13.7882	13.9036	13.5567	14.7674	13.467	13.938	14.3616	13.6121	13.6135	14.0436	13.8017	14.0345	13.2235	13.7519	13.0087	13.7897	13.2303	13.3715	13.6884	13.6369	14.9463	14.01	14.4294	13.0868	14.2284	13.8518	14.2634	13.9051	13.4503	13.7786	13.8882	13.9776	13.953	14.358	14.2836	14.0675	13.8647	13.7522	14.0909	13.9262	13.6354	13.6373	13.878	14.0882	13.8865	14.7928	14.1301	14.0325	13.9619	14.0137	14.5215	14.217	14.0683	13.8373	13.6179	13.5653	13.9291	13.7896	13.8628	13.9102	14.7223	14.2781	13.8436	13.7397	13.6744	13.4817	13.9191	14.0974	14.5517	13.5177	13.713	14.1418	14.221	14.3069	13.7794	13.9093	14.621	13.9196	14.3097	13.9406	14.6808	14.3924	13.6505	14.391	13.8424	13.9994	14.1418	14.7073
hsa-miR-29c-3p	11.6067	12.121	12.9684	11.9542	11.8625	10.9022	12.0589	11.114	12.0664	11.7654	12.2546	11.884	12.3021	12.6825	11.8335	11.6625	11.0424	12.2791	11.8031	11.2562	11.8805	12.3182	11.3631	11.587	12.1253	12.3412	11.6296	11.7599	11.7649	11.3569	11.9973	11.707	11.5455	11.0198	11.2426	11.7238	12.4579	11.4696	12.0416	11.5337	12.1759	12.014	12.3257	12.3918	11.9173	12.561	11.8052	11.8548	12.8434	12.8905	12.332	11.4028	11.895	11.9178	11.4857	12.1705	11.4779	12.1335	12.3341	11.6698	12.3952	11.594	11.2403	11.816	13.4767	11.6345	10.7984	11.624	11.1264	12.1446	11.5961	12.2823	11.7873	12.8785	12.4658	11.9439	11.1453	11.8712	10.1857	12.2212	11.0373	11.6455	12.0582	11.3415	10.9624	12.4159	13	10.4456	11.8344	11.9457	11.9873	12.0761	12.6819	12.2001	11.5006	12.4634	11.604	12.0397	11.6789	12.0223	11.753	12.0339	11.7678	11.9092	12.3218	11.8157	12.297
hsa-let-7f-5p	14.5087	14.6591	14.2111	14.0526	13.3747	12.9928	14.34	13.593	13.9196	14.0943	13.9735	13.9858	14.43	13.5353	13.786	14.1348	14.052	13.8064	13.4783	13.7786	13.8941	13.5861	14.6311	13.4581	13.9258	14.3054	13.5549	13.5962	13.973	13.7496	14.0221	13.1693	13.7057	12.9905	13.7506	13.1942	13.3624	13.633	13.61	14.8291	13.9885	14.3351	13.1148	14.1796	13.8308	14.2069	13.9008	13.3695	13.7436	13.8886	13.9465	13.9258	14.3276	14.2489	14.0546	13.8393	13.7076	14.0304	13.8984	13.5833	13.6445	13.7617	13.9829	13.8095	14.7738	14.1022	13.8971	13.9367	13.975	14.5049	14.1869	14.0534	13.8138	13.6319	13.5497	13.9046	13.7103	13.8126	13.8746	14.6766	14.2708	13.7911	13.7119	13.6282	13.4024	13.8627	14.0619	14.4603	13.4909	13.7181	14.076	14.1907	14.2883	13.7286	13.8836	14.593	13.9262	14.207	13.8654	14.618	14.3677	13.6272	14.3228	13.8182	13.9434	14.094	14.6204
hsa-miR-106b-5p	9.758	9.8991	9.8181	10.7393	9.5159	10.9397	9.1867	9.8513	10.288	9.6545	9.483	9.7467	10.328	10.4647	9.7091	10.0523	9.9605	9.9171	9.6999	10.4331	10.0596	9.2072	9.1849	10.0383	10.3994	9.4841	10.9863	10.522	9.5413	10.4575	10.3364	10.0015	9.7223	11.2574	10.4889	10.6098	10.6897	10.6668	10.4541	9.1037	9.5763	9.7373	9.6106	9.7973	9.6045	9.7794	10.3042	11.1644	10.5262	10.3611	9.9284	10.5797	10.5324	9.8035	10.3125	10.4971	9.4634	9.1644	9.721	10.0929	10.0926	8.6702	9.5416	9.5551	11.1045	9.4769	9.1477	10.179	10.4139	9.7107	9.8252	9.6649	9.3531	10.1404	10.1562	9.6423	9.0891	10.5687	10.9943	9.1186	8.7055	11.442	9.7773	9.9891	10.5204	8.8029	10.6616	9.5076	9.2842	10.4436	9.966	9.8791	9.0079	8.8119	9.1366	9.5505	10.4941	9.0714	9.3541	8.7723	8.4106	9.8856	9.2293	9.8258	10.378	9.7917	9.8816
hsa-miR-29a-3p	11.6546	12.163	13.0458	11.9668	12.0445	10.9899	12.2369	11.1834	12.1462	11.8242	12.2991	11.9256	12.3497	12.7338	11.9039	11.7385	11.1139	12.308	11.8565	11.2571	11.9861	12.4291	11.4243	11.6167	12.1695	12.4045	11.6858	11.8204	11.8163	11.4129	12.0329	11.8603	11.5991	11.0506	11.2868	11.7692	12.5257	11.5228	12.0741	11.6026	12.3339	12.0664	12.5214	12.4458	11.9838	12.5826	11.869	11.9126	12.9067	12.9648	12.3707	11.4701	11.9659	11.9759	11.5409	12.2209	11.5263	12.1973	12.3904	11.7342	12.4639	11.815	11.2836	11.8879	13.6467	11.6625	10.8666	11.6568	11.1711	12.2357	11.6376	12.3378	11.8467	12.9156	12.5522	11.9776	11.2286	11.9601	10.2447	12.2771	11.0869	11.6992	12.1261	11.3729	11.0108	12.4779	13.0562	10.5023	11.8873	11.9941	12.0181	12.1584	12.7349	12.2487	11.5568	12.5203	11.6687	12.0711	11.747	12.1032	11.8019	12.0703	11.8308	11.9578	12.3852	11.9293	12.3426
hsa-miR-21-5p	17.6015	17.2011	17.7216	18.2682	18.8843	18.3156	17.4729	18.6161	18.5931	17.5404	17.9741	18.0627	17.7242	18.7869	18.9146	17.9959	17.9732	18.5708	18.7451	18.5069	18.5944	18.7666	17.3986	18.7922	18.6327	18.3066	18.5045	18.8435	18.3612	18.3119	18.6127	18.8453	18.2505	18.2599	18.0941	18.8205	18.7437	18.4377	18.4873	17.3521	18.4519	17.1676	18.9461	18.4146	18.2179	17.574	18.5988	18.6033	18.2978	18.6634	17.7357	18.1253	17.9063	18.3172	18.3579	18.7813	18.8539	18.1921	18.4675	18.501	18.7033	17.8219	17.7189	18.6281	18.6137	18.1608	17.9486	18.2904	18.2911	17.9828	17.9676	18.4297	18.5187	18.6679	18.738	18.5262	18.1763	18.474	17.6057	17.8975	17.9118	18.3293	18.7325	18.415	17.1505	18.2505	17.9718	17.2563	19.0048	18.875	17.9996	17.8106	18.0436	18.073	18.7264	17.7652	18.8065	17.7469	18.5155	17.0822	17.8307	18.7228	18.1645	18.4815	18.3409	17.8197	17.5125
hsa-miR-99a-5p	12.593	12.7686	12.6192	12.7972	12.3852	10.9115	13.3023	12.663	10.8993	12.8422	13.1031	12.2592	12.2755	13.5232	11.8809	13.0523	12.0908	11.3834	15.0259	11.8914	12.1122	11.7819	12.8091	11.87	11.7903	12.2575	12.6998	11.9682	12.506	10.994	12.2865	13.1701	12.152	12.0801	11.8351	11.7087	11.3515	12.0898	11.6353	13.4329	12.3426	12.3764	11.8015	12.5398	12.0682	12.6167	12.4361	11.9161	11.977	12.2517	13.1824	11.2804	12.0187	12.2058	12.1765	11.0527	12.8506	12.6477	12.2319	13.1363	14.3916	13.3865	12.1819	12.2287	10.0872	14.9194	12.5759	12.6339	11.2544	13.7977	12.1961	12.6904	12.1119	14.1121	13.313	12.7236	11.8451	11.9193	12.4955	14.5021	11.8872	12.3779	12.807	11.8005	10.9734	13.3827	11.7032	12.1046	12.5092	11.2564	11.3418	12.9103	11.6609	12.7913	12.4526	14.2076	11.5346	13.07	12.1243	13.4147	14.4124	11.1905	12.8736	11.4964	12.5298	12.253	12.6338
