Hugo_Symbol	C3N-01021	C3L-00893	C3N-02002	C3N-00737	C3L-02345	C3N-02155	C3N-00738	C3N-02588	C3N-01024	C3L-01682	C3N-00223	C3L-02348	C3N-00167	C3N-00294	C3N-02423	C3N-02729	C3N-01071	C3N-01030	C3N-02003	C3N-01016	C3N-02572	C3N-00175	C3L-00412	C3L-01924	C3N-01413	C3N-02586	C3N-01842	C3N-02379	C3L-00279	C3L-00080	C3L-00913	C3N-01415	C3N-02000	C3N-02089	C3N-00559	C3N-01410	C3L-02365	C3N-02149	X11LU013	C3L-00095	C3L-00973	C3L-01330	C3N-01489	C3N-02087	C3N-02433	C3N-00959	C3N-01023	C3N-00560	C3N-02067	C3N-02529	C3N-02380	C3N-02158	C3N-00579	C3N-01416	C3N-00199	X11LU022	C3N-00556	C3N-00293	C3N-01799	C3N-00550	C3N-00203	C3L-00001	C3N-00217	C3L-00093	C3N-01405	C3N-00552	C3L-00009	C3L-00094	C3L-00604	C3N-00546	C3L-01862	C3N-00433	C3N-02421	C3N-02424	X11LU035	C3L-00263	C3L-02219	C3N-01414	C3N-00549	C3N-02587	C3L-01632	C3N-01074	C3N-01823	C3N-00547	C3N-00180	C3N-00578	C3L-00510	C3N-00574	C3N-01488	X11LU016	C3N-00572	C3L-02350	C3N-00704	C3L-01889	C3L-01683	C3L-00422	C3N-00169	C3L-00083	C3N-02145	C3L-01890	C3N-01072	C3N-00551	C3L-02508	C3N-02582	C3N-02422	C3L-02549	C3L-00368
hsa-let-7f-5p	1.5191	1.979	0.7643	0.3568	-1.4917	-2.4456	1.0939	-0.9096	-0.0011	0.4633	0.143	0.1716	1.3795	-1.0543	-0.383	0.5479	0.3037	-0.335	-1.2086	-0.3817	-0.1017	-0.9382	1.8172	-1.2144	0.0426	0.9722	-0.9729	-0.8749	0.1692	-0.4335	0.2233	-2.0162	-0.6011	-2.4691	-0.4706	-1.8969	-1.4565	-0.7829	-0.8498	2.3499	0.1585	1.1156	-2.1608	0.6789	-0.2984	0.8169	-0.0428	-1.5294	-0.4842	-0.0961	0.0501	0.0781	1.0675	0.8692	0.353	-0.2162	-0.6094	0.3186	-0.0489	-0.9256	-0.7466	-0.446	0.2063	-0.2867	2.2242	0.4115	-0.1509	0.029	0.139	1.5244	0.7288	0.3445	-0.3382	-0.8218	-0.979	-0.0438	-0.5605	-0.2744	-0.0817	1.9979	0.9418	-0.3379	-0.5539	-0.8077	-1.4255	-0.2114	0.4003	1.423	-1.1811	-0.5544	0.4403	0.7214	0.9901	-0.4927	-0.1159	1.8279	-0.0033	0.7126	-0.1351	1.8541	1.1769	-0.8031	1.0761	-0.3099	0.0584	0.4956	1.8356
hsa-miR-23a-3p	0.1213	0.8066	1.1034	-0.8241	0.933	-2.0231	0.9473	-0.329	0.2156	0.4101	-0.5291	-0.5556	1.4076	-1.1874	-0.5937	-0.4319	0.5962	1.9859	-0.9634	-0.4492	0.6021	0.1016	1.1475	-1.0501	-0.3792	-0.0524	-0.5318	-0.7935	1.6469	-1.6128	-0.0051	-1.0488	-0.4627	-0.199	-0.6218	-0.8878	-0.1834	-0.491	0.5864	0.4549	0.046	0.7523	-0.5529	0.9192	-0.8665	0.6602	-1.0064	-0.5793	0.3733	-1.1812	0.7931	-0.6496	0.1813	0.3841	0.3771	-1.2138	0.3709	1.0691	-0.1434	-0.1485	0.3582	0.8938	0.7074	0.9073	-6.6949	0.3968	2.1574	-0.7244	-0.3735	0.5624	0.6775	0.5662	0.8501	-0.319	0.1729	0.1888	-0.5931	0.0143	0.0948	-0.5577	0.309	-0.1653	-1.0836	0.8379	-0.1402	-0.1528	-0.6031	0.4662	-0.2336	-0.2185	0.5262	-0.1158	0.8511	-0.3295	0.5848	0.7752	-0.0732	1.5567	0.6099	0.9073	1.091	-0.0286	0.4049	-0.5459	0.0851	-0.5351	-0.5113
hsa-miR-26a-5p	0.5512	1.0225	0.8695	-0.4345	-0.5518	-2.2544	0.5249	-1.3191	-0.2589	1.652	0.6062	0.9533	0.4492	-1.1439	-1.0065	0.4282	-0.1197	-0.6281	-1.6703	-0.7769	-0.212	-0.2569	0.704	-0.4459	-0.5215	0.6042	-1.1869	-0.785	-0.1995	2.84	-0.8721	-0.7774	0.9833	-1.535	1.4615	-1.7742	-1.3811	-0.7243	-0.3065	0.5676	0.1408	1.164	-1.6416	-0.6568	2.4831	0.4058	-1.2156	-1.43	0.5146	-0.4775	1.0846	0.7823	-0.3599	-0.0798	0.3743	-0.7912	-0.3665	0.8989	0.6895	-0.5121	-0.9032	0.7329	0.3931	-0.0655	-1.9564	0.1781	-0.1133	-0.4994	-0.6412	0.0522	0.7367	0.2009	0.3394	-1.2119	-0.6914	0.0901	3.2456	-0.3724	0.2947	0.342	0.4085	-1.5861	0.1355	-0.3556	-1.0073	0.1995	1.2749	0.6089	-0.725	-0.8979	0.5569	1.066	0.3166	2.2941	0.1888	0.3475	-1.6423	1.2297	0.1208	0.8309	1.4224	-0.525	0.5939	0.1171	-0.251	-0.2427	1.2876
hsa-let-7a-5p	1.5383	1.8818	0.6921	0.4117	-1.4446	-2.2459	1.1789	-0.6542	-0.0874	0.4771	0.1419	0.1523	1.443	-1.1434	-0.5413	0.5106	0.4343	-0.2871	-1.2397	-0.4626	-0.1629	-1.0637	2.0799	-1.2966	-0.0736	1.0263	-0.9198	-0.9162	0.2006	-0.4275	0.1769	-1.9288	-0.5568	-2.4866	-0.4587	-1.9112	-1.5446	-0.7217	-0.8554	2.5445	0.1133	1.2023	-2.2838	0.6804	-0.2974	0.7713	-0.159	-1.3399	-0.4875	-0.2029	0.0292	-0.0347	1.0169	0.8237	0.2626	-0.2639	-0.5561	0.3234	-0.1043	-0.8593	-0.8544	-0.2294	0.3164	-0.2073	2.1459	0.4252	0.1718	-0.0116	0.1229	1.4415	0.6508	0.2647	-0.3351	-0.9048	-1.0413	-0.0967	-0.4589	-0.2689	-0.1458	1.9628	0.8095	-0.3187	-0.5885	-0.7581	-1.2584	-0.1227	0.3403	1.5199	-1.1649	-0.6578	0.4556	0.6612	0.8842	-0.4854	-0.1481	1.6998	-0.1214	0.8915	-0.0669	1.8551	1.1062	-0.8201	1.1026	-0.3218	0.0858	0.4556	1.9239
hsa-miR-29c-3p	-0.5101	0.4568	2.0498	0.1432	-0.0292	-1.8345	0.34	-1.4364	0.3541	-0.2118	0.7079	0.0112	0.7972	1.5123	-0.0837	-0.4052	-1.571	0.754	-0.1409	-1.169	0.0046	0.8275	-0.9681	-0.5471	0.4648	0.8707	-0.4671	-0.2221	-0.2127	-0.9797	0.2242	-0.3215	-0.6252	-1.6135	-1.1946	-0.29	1.0901	-0.7679	0.3075	-0.6473	0.56	0.2556	0.8416	0.9658	0.0738	1.2839	-0.1369	-0.0437	1.8148	1.9034	0.8534	-0.8934	0.0319	0.0747	-0.7376	0.5498	-0.7522	0.4803	0.8574	-0.3915	0.9722	-0.534	-1.1989	-0.1166	3.0054	-0.4578	-2.0297	-0.4776	-1.4131	0.5011	-0.53	0.76	-0.1706	1.8808	1.105	0.1238	-1.3775	-0.0129	-3.1815	0.6451	-1.5806	-0.4372	0.3387	-1.0087	-1.7214	1.0112	2.1092	-2.6929	-0.082	0.1272	0.2054	0.3723	1.5112	0.6055	-0.7096	1.1004	-0.5152	0.3039	-0.3744	0.2712	-0.2351	0.293	-0.2072	0.0586	0.8342	-0.1172	0.7876
hsa-let-7f-5p	1.5541	1.9543	0.7622	0.3404	-1.4634	-2.4797	1.1052	-0.8826	-0.0135	0.4514	0.1299	0.1627	1.3446	-1.0361	-0.369	0.5591	0.3388	-0.3147	-1.1878	-0.3887	-0.0814	-0.9009	1.8798	-1.2415	0.003	1.0131	-0.9839	-0.874	0.1286	-0.4659	0.2592	-2.01	-0.5827	-2.4858	-0.4632	-1.9437	-1.4962	-0.7761	-0.8373	2.4066	0.1698	1.0921	-2.155	0.6783	-0.2498	0.751	-0.0635	-1.4773	-0.4818	-0.096	0.0581	0.003	1.0722	0.8628	0.3457	-0.2272	-0.5776	0.2813	-0.0699	-0.9084	-0.7455	-0.4337	0.1549	-0.3065	2.2595	0.4724	-0.0734	0.032	0.1339	1.5439	0.6978	0.3425	-0.295	-0.779	-0.9978	-0.0534	-0.5704	-0.2982	-0.1332	2.0008	0.921	-0.3554	-0.5662	-0.7889	-1.3897	-0.1649	0.3652	1.4253	-1.1542	-0.5497	0.4027	0.7079	0.9676	-0.5217	-0.1093	1.7784	0.0041	0.7513	-0.1577	1.8449	1.1789	-0.7916	1.0594	-0.2833	0.0498	0.4506	1.8513
hsa-miR-106b-5p	-0.2464	-0.0158	-0.1482	1.3572	-0.642	1.6847	-1.18	-0.0939	0.6197	-0.4155	-0.6958	-0.2648	0.6851	0.9085	-0.3263	0.2345	0.0845	0.0136	-0.3413	0.8568	0.2465	-1.1465	-1.1829	0.2117	0.8018	-0.694	1.7608	1.0021	-0.6005	0.8967	0.6988	0.1515	-0.3047	2.2038	0.948	1.1456	1.2761	1.2387	0.8911	-1.3156	-0.5433	-0.2802	-0.4873	-0.1822	-0.4972	-0.2114	0.6462	2.0519	1.009	0.7392	0.0321	1.0964	1.0191	-0.172	0.6597	0.9614	-0.7278	-1.2164	-0.3068	0.3009	0.3004	-2.024	-0.6	-0.5779	1.954	-0.7057	-1.2437	0.4416	0.8255	-0.3237	-0.1366	-0.3985	-0.908	0.3785	0.4043	-0.4355	-1.3395	1.0784	1.7739	-1.2912	-1.9663	2.5055	-0.2148	0.1313	0.9995	-1.8071	1.2302	-0.6556	-1.0206	0.874	0.0935	-0.0485	-1.4721	-1.7924	-1.2618	-0.5855	0.9565	-1.3684	-0.9064	-1.8572	-2.4482	-0.0379	-1.1103	-0.1356	0.7668	-0.1913	-0.0444
hsa-miR-29a-3p	-0.535	0.41	2.051	0.0453	0.1898	-1.7705	0.5474	-1.4108	0.3788	-0.2197	0.663	-0.0312	0.7571	1.471	-0.0716	-0.379	-1.54	0.6796	-0.1597	-1.2738	0.0812	0.9047	-0.963	-0.6054	0.4221	0.8589	-0.477	-0.2268	-0.2344	-0.9842	0.1682	-0.1526	-0.6381	-1.6577	-1.2186	-0.3219	1.0842	-0.7799	0.2448	-0.6316	0.7277	0.2305	1.0762	0.9357	0.0769	1.19	-0.1364	-0.0554	1.7924	1.9004	0.7961	-0.8779	0.0437	0.0623	-0.7463	0.5177	-0.7734	0.4738	0.8327	-0.387	0.9693	-0.2368	-1.2246	-0.1013	3.1679	-0.5203	-1.9997	-0.5309	-1.4337	0.5452	-0.5666	0.7349	-0.1779	1.8089	1.1335	0.0654	-1.3268	0.0329	-3.1556	0.6221	-1.5902	-0.4521	0.3414	-1.0586	-1.7316	0.9954	2.0703	-2.6768	-0.1024	0.0961	0.1407	0.4015	1.4731	0.5693	-0.7167	1.0742	-0.5088	0.2392	-0.3632	0.2989	-0.2612	0.2377	-0.2074	0.0286	0.8231	-0.0244	0.7439
hsa-miR-21-5p	-1.3959	-2.2601	-1.1366	0.0431	1.3729	0.1454	-1.6734	0.794	0.7444	-1.5277	-0.5916	-0.4004	-1.131	1.1627	1.4383	-0.5446	-0.5936	0.6962	1.0724	0.5583	0.7472	1.1188	-1.8338	1.1741	0.8298	0.126	0.5531	1.2848	0.2438	0.1374	0.7867	1.2887	0.0049	0.0252	-0.3326	1.2352	1.0694	0.409	0.516	-1.9341	0.4396	-2.3324	1.5063	0.3591	-0.0654	-1.4552	0.7567	0.7664	0.107	0.8961	-1.1062	-0.2653	-0.738	0.1489	0.2367	1.1506	1.3073	-0.1211	0.4733	0.5456	0.9822	-0.9202	-1.1425	0.8199	0.7888	-0.1887	-0.6467	0.091	0.0925	-0.5729	-0.6057	0.3917	0.5838	0.9058	1.0571	0.6	-0.1552	0.4873	-1.3868	-0.757	-0.7261	0.175	1.0452	0.36	-2.3693	0.0049	-0.5966	-2.1409	1.633	1.3528	-0.5366	-0.9445	-0.4416	-0.3782	1.0321	-1.0425	1.205	-1.082	0.5769	-2.5167	-0.9012	1.0243	-0.1807	0.5035	0.2	-0.9249	-1.5879
hsa-miR-99a-5p	0.222	0.4258	0.2524	0.4589	-0.019	-1.7288	1.045	0.3032	-1.743	0.5112	0.8138	-0.1652	-0.1463	1.3012	-0.6041	0.7549	-0.3606	-1.1813	3.0446	-0.5919	-0.3358	-0.719	0.4728	-0.6168	-0.7092	-0.1672	0.3459	-0.5028	0.1211	-1.6331	-0.1336	0.8916	-0.2896	-0.373	-0.6573	-0.8039	-1.2183	-0.3618	-0.8891	1.1965	-0.0685	-0.0293	-0.6962	0.1603	-0.3868	0.2495	0.04	-0.5633	-0.4926	-0.1739	0.9058	-1.3008	-0.4443	-0.2272	-0.2612	-1.565	0.5209	0.2855	-0.1969	0.8524	2.3087	1.1426	-0.2549	-0.2006	-2.6851	2.9211	0.2022	0.2695	-1.331	1.6197	-0.2384	0.335	-0.3361	1.9845	1.0574	0.3736	-0.6457	-0.5596	0.1089	2.4369	-0.5968	-0.0275	0.4703	-0.6974	-1.657	1.1382	-0.8103	-0.3446	0.1248	-1.3287	-1.2296	0.5902	-0.8594	0.4521	0.0591	2.0953	-1.0059	0.7754	-0.3217	1.1754	2.3329	-1.4051	0.5476	-1.0502	0.1487	-0.1724	0.2694
