protein1,protein2,in_solution,cost
F13A1,FGG,,0.794225
F13A1,ANXA7,True,0.594442
F13A1,FGA,True,0.654948
F13A1,FN1,,0.561127
CTNND1,MUC1,True,0.429349
CTNND1,CDH5,,0.410771
CTNND1,ATF2,,0.598835
CTNND1,COL17A1,True,0.458237
CTNND1,EGFR,,0.287247
CTNND1,SOX2,,0.598835
CTNND1,CTNNB1,,0.410771
SETD7,HCFC1,,0.830932
SETD7,DNMT1,True,0.214
SETD7,STAT3,,0.45648
SETD7,RELA,True,0.126518
SETD7,HIST1H3D,True,0.101902
SETD7,E2F1,True,0.270413
SETD7,SOX2,,0.45648
SETD7,RB1,,0.561127
FST,FN1,,0.85922
FST,TXN,True,0.594442
FST,ADAM12,True,0.561127
MUC1,CEBPB,True,0.537305
MUC1,JUN,,0.598835
MUC1,GRB2,True,0.328233
MUC1,HIF1A,,0.598835
MUC1,EGFR,True,0.131076
MUC1,CTNNB1,True,0.0472643
MUC1,GALNT12,True,0.549451
MUC1,ERBB3,,0.598835
RUNX2,CEBPB,,0.830932
RUNX2,CREBBP,,0.598835
RUNX2,JUN,True,0.267119
RUNX2,STAT3,,0.598835
RUNX2,HIF1A,True,0.45648
RUNX2,ETS1,True,0.561127
RUNX2,HDAC3,,0.332937
RUNX2,RB1,,0.598835
RUNX2,FOS,,0.267119
RUNX2,HDAC5,True,0.410771
PAPPA,PLG,True,0.561127
PAPPA,SKIL,True,0.594442
ANXA3,ATF2,True,0.598835
ANXA3,IGSF21,True,0.452941
STAT1,IRF9,,0.443929
STAT1,NFKBIA,,0.598835
STAT1,CREBBP,,0.0646551
STAT1,HSF1,,0.571676
STAT1,JUN,,0.585069
STAT1,STAT3,True,0.298244
STAT1,RELA,,0.598835
STAT1,E2F1,,0.475767
STAT1,EGFR,,0.0933507
STAT1,RXRA,,0.472754
STAT1,HDAC3,,0.598835
STAT1,VDR,,0.45648
STAT1,PIAS1,True,0.0633705
STAT1,FOS,,0.410771
STAT1,STAT2,True,0.11174
STAT1,GFAP,,0.594442
TWIST2,TWIST1,,0.598835
TWIST2,ETS2,True,0.409355
TWIST2,TCF4,True,0.443583
TNXB,PCOLCE,True,0.441963
FLNC,KY,True,0.73985
FLNC,GRB2,,0.598835
FLNC,MAP2K4,True,0.398358
FLNC,FN1,,0.598835
FLNC,TP63,,0.598835
FLNC,KCND2,True,0.458237
TGM2,VHL,,0.397933
TGM2,SUMO1,,0.286822
TGM2,PCOLCE,True,0.441963
TGM2,RELA,True,0.537305
TGM2,YWHAZ,,0.654948
TGM2,RB1,,0.585069
TGM2,FN1,,0.198165
BTRC,NCOR2,,0.598835
BTRC,MYB,,0.85922
BTRC,NFKB1,,0.123568
BTRC,NFKBIA,True,0.016534
BTRC,CHUK,,0.561127
BTRC,HSF1,,0.598835
BTRC,RELA,,0.598835
BTRC,E2F1,,0.561127
BTRC,CTNNB1,True,0.0146852
BTRC,UHRF1,,0.45648
BTRC,CDC20,,0.598835
BTRC,SP1,,0.561127
DMBT1,CDK6,True,0.598835
DMBT1,SFTPA1,True,0.475111
DMBT1,PARD6B,True,0.598835
FN1,VHL,,0.120851
FN1,ANXA2,,0.598835
FN1,PARP1,,0.598835
FN1,ITIH4,True,0.598835
FN1,FGB,,0.598835
FN1,RARA,,0.594442
FN1,MMP2,,0.345498
FN1,SDC2,,0.561127
