Covering_nodes,Total_nodes,Component_number,Terminal_coverage,w,b,g
109,194,1,1,2,2,2
109,171,1,1,2,2,3
109,169,1,1,2,2,4
109,206,1,1,2,2,5
109,194,1,1,2,3,2
109,171,1,1,2,3,3
109,169,1,1,2,3,4
109,206,1,1,2,3,5
109,194,1,1,2,4,2
109,171,1,1,2,4,3
109,169,1,1,2,4,4
109,206,1,1,2,4,5
109,194,1,1,2,5,2
109,171,1,1,2,5,3
109,169,1,1,2,5,4
109,206,1,1,2,5,5
109,194,1,1,3,2,2
109,171,1,1,3,2,3
109,169,1,1,3,2,4
109,206,1,1,3,2,5
109,194,1,1,3,3,2
109,171,1,1,3,3,3
109,169,1,1,3,3,4
109,206,1,1,3,3,5
109,194,1,1,3,4,2
109,171,1,1,3,4,3
109,169,1,1,3,4,4
109,206,1,1,3,4,5
109,194,1,1,3,5,2
109,171,1,1,3,5,3
109,169,1,1,3,5,4
109,206,1,1,3,5,5
109,194,1,1,4,2,2
109,171,1,1,4,2,3
109,169,1,1,4,2,4
109,206,1,1,4,2,5
109,194,1,1,4,3,2
109,171,1,1,4,3,3
109,169,1,1,4,3,4
109,206,1,1,4,3,5
109,194,1,1,4,4,2
109,171,1,1,4,4,3
109,169,1,1,4,4,4
109,206,1,1,4,4,5
109,194,1,1,4,5,2
109,171,1,1,4,5,3
109,169,1,1,4,5,4
109,206,1,1,4,5,5
109,194,1,1,5,2,2
109,171,1,1,5,2,3
109,169,1,1,5,2,4
109,206,1,1,5,2,5
109,194,1,1,5,3,2
109,171,1,1,5,3,3
109,169,1,1,5,3,4
109,206,1,1,5,3,5
109,194,1,1,5,4,2
109,171,1,1,5,4,3
109,169,1,1,5,4,4
109,206,1,1,5,4,5
109,194,1,1,5,5,2
109,171,1,1,5,5,3
109,169,1,1,5,5,4
109,206,1,1,5,5,5
