,prize,Category,terminal,type,degree
C9ORF72,0.0,,False,protein,91
ZNF91,0.0,,False,protein,5
ACP5,0.0,,False,protein,10
SLC27A2,0.0,,False,protein,8
PAX9,0.0,,False,protein,11
ADAM15,0.0,,False,protein,39
ELOVL2,0.0,,False,protein,1
FGF7,0.0,,False,protein,12
CDHR5,0.0,,False,protein,3
LYPD3,0.0,,False,protein,17
ABCF1,0.0,,False,protein,49
IL23R,0.0,,False,protein,5
SPINT1,0.0,,False,protein,4
PAX4,0.0,,False,protein,1
FBXL12,0.0,,False,protein,23
CDK9,0.0,,False,protein,180
RPL35,0.0,,False,protein,75
PRAF2,0.0,,False,protein,5
CDK17,0.0,,False,protein,16
CSAG1,0.0,,False,protein,2
CYP2C8,0.0,,False,protein,12
SFRS2,0.0,,False,protein,7
CDK13,0.0,,False,protein,20
CKS2,0.0,,False,protein,19
NTHL1,0.0,,False,protein,15
SLC25A6,0.0,,False,protein,78
ADAMTSL5,0.0,,False,protein,5
MBD4,0.0,,False,protein,14
TXNRD2,0.0,,False,protein,7
AMH,0.0,,False,protein,7
RASGEF1C,0.0,,False,protein,4
MED21,0.0,,False,protein,59
GAS2L1,0.0,,False,protein,2
CHPF2,0.0,,False,protein,1
PER3,0.0,,False,protein,11
TMEM87A,0.0,,False,protein,1
PMAIP1,0.0,,False,protein,11
RAB11FIP4,0.0,,False,protein,9
INSIG2,0.0,,False,protein,35
FSTL3,0.0,,False,protein,5
CPXM2,0.0,,False,protein,1
PYROXD2,0.0,,False,protein,3
LASP1,0.0,,False,protein,40
ARHGAP31,0.0,,False,protein,5
SEC61A2,0.0,,False,protein,5
TOP2B,0.0,,False,protein,51
KCNE1,0.0,,False,protein,6
FAM129B,0.0,,False,protein,22
MEGF11,0.0,,False,protein,1
SMU1,0.0,,False,protein,40
G6PC,0.0,,False,protein,4
DEDD2,0.0,,False,protein,12
ARFGAP2,0.0,,False,protein,2
MAP7,0.0,,False,protein,12
TCEAL2,0.0,,False,protein,13
ST6GALNAC4,0.0,,False,protein,2
SPRR2A,0.0,,False,protein,13
SUMF2,0.0,,False,protein,5
STIM2,0.0,,False,protein,5
RPS26,0.0,,False,protein,126
E2F8,0.0,,False,protein,6
TRMT6,0.0,,False,protein,8
ST5,0.0,,False,protein,4
ENTPD6,0.0,,False,protein,2
FLAD1,0.0,,False,protein,17
ADPRHL2,0.0,,False,protein,3
UBL4B,0.0,,False,protein,2
MEST,0.0,,False,protein,18
DIP2C,0.0,,False,protein,1
EGFL7,0.0,,False,protein,7
RPS6KA1,0.0,,False,protein,81
ENTPD3,0.0,,False,protein,1
RRP12,0.0,,False,protein,24
CT45A9,0.0,,False,protein,4
ENO2,0.0,,False,protein,41
INSC,0.0,,False,protein,5
FRYL,0.0,,False,protein,12
MATN4,0.0,,False,protein,4
FCF1,0.0,,False,protein,1
PASK,0.0,,False,protein,63
SF3B1,0.0,,False,protein,132
ZFYVE26,0.0,,False,protein,19
C1GALT1,0.0,,False,protein,2
TRIP12,0.0,,False,protein,36
JAM3,0.0,,False,protein,7
TRMT112,0.0,,False,protein,36
COPG1,0.0,,False,protein,51
TIGD7,0.0,,False,protein,2
SPIB,0.0,,False,protein,19
COL5A3,0.0,,False,protein,2
MIP,0.0,,False,protein,9
TEX264,0.0,,False,protein,2
RAB5A,0.0,,False,protein,73
LHX8,0.0,,False,protein,5
LPAR2,0.0,,False,protein,9
DOCK10,0.0,,False,protein,3
PMPCB,0.0,,False,protein,12
KIFC1,0.0,,False,protein,2
AMIGO2,0.0,,False,protein,3
NPTXR,0.0,,False,protein,2
TRAPPC2L,0.0,,False,protein,22
JUP,0.0,,False,protein,106
B3GALT6,0.0,,False,protein,1
G2E3,0.0,,False,protein,5
RNF180,0.0,,False,protein,2
SDF2L1,0.0,,False,protein,9
CDK19,0.0,,False,protein,52
SKAP1,0.0,,False,protein,11
MOK,0.0,,False,protein,10
CISH,0.0,,False,protein,27
ASCC2,0.0,,False,protein,39
CLEC18C,0.0,,False,protein,1
CNOT4,0.0,,False,protein,13
PLD3,0.0,,False,protein,17
AGTRAP,0.0,,False,protein,73
NGB,0.0,,False,protein,12
PLAG1,0.0,,False,protein,7
C2ORF42,0.0,,False,protein,3
C21ORF2,0.0,,False,protein,2
IDUA,0.0,,False,protein,1
CXCL9,0.0,,False,protein,9
RTKN2,0.0,,False,protein,2
FAM126B,0.0,,False,protein,2
PTGIS,0.0,,False,protein,3
GUCA1B,0.0,,False,protein,2
ANKRD32,0.0,,False,protein,1
RBM22,0.0,,False,protein,11
PMEPA1,0.0,,False,protein,4
MECOM,0.0,,False,protein,26
PSMG2,0.0,,False,protein,13
SLC12A6,0.0,,False,protein,3
TIAM2,0.0,,False,protein,10
E2F6,0.0,,False,protein,27
ICA1L,0.0,,False,protein,1
KIZ,0.0,,False,protein,4
ING3,0.0,,False,protein,23
PIWIL1,0.0,,False,protein,15
FAM45B,0.0,,False,protein,2
CXORF56,0.0,,False,protein,6
MICAL1,0.0,,False,protein,18
HOXA3,0.0,,False,protein,9
NME9,0.0,,False,protein,1
TADA2A,0.0,,False,protein,139
CNGA2,0.0,,False,protein,2
MPHOSPH8,0.0,,False,protein,10
NKX3-1,0.0,,False,protein,35
NCL,0.0,,False,protein,215
CHMP2B,0.0,,False,protein,17
NADK,0.0,,False,protein,11
HCRTR1,0.0,,False,protein,4
CCDC167,0.0,,False,protein,1
SLC35C2,0.0,,False,protein,1
TNNI3,0.0,,False,protein,17
SYT9,0.0,,False,protein,6
ATL3,0.0,,False,protein,4
MPHOSPH10,0.0,,False,protein,8
GPR3,0.0,,False,protein,3
KRT12,0.0,,False,protein,2
KIAA1468,0.0,,False,protein,7
NOMO2,0.0,,False,protein,5
NFE2L2,0.0,,False,protein,59
HEATR3,0.0,,False,protein,7
APLP1,0.0,,False,protein,54
SOGA1,0.0,,False,protein,4
DECR1,0.0,,False,protein,7
LRP1,0.0,,False,protein,81
TFAP2B,0.0,,False,protein,12
KCMF1,0.0,,False,protein,28
IL2RG,0.0,,False,protein,27
SLFN12,0.0,,False,protein,2
PARK2,0.0,,False,protein,385
DPYSL5,0.0,,False,protein,8
NR4A1,0.0,,False,protein,117
BRWD3,0.0,,False,protein,1
PTPRG,0.0,,False,protein,26
FRZB,0.0,,False,protein,7
SHB,0.0,,False,protein,25
KTN1,0.0,,False,protein,30
FAM156B,0.0,,False,protein,5
ZNF223,0.0,,False,protein,4
HILPDA,0.0,,False,protein,2
LOC142937,0.0,,False,protein,1
EIF1,0.0,,False,protein,8
SERPIND1,3.792100000000001,ECM Regulators,True,protein,3
FAM174A,0.0,,False,protein,1
DCN,0.0,,False,protein,34
FAM168B,0.0,,False,protein,1
PRMT1,0.0,,False,protein,136
SAC3D1,0.0,,False,protein,1
HLA-DRB1,0.0,,False,protein,15
RAB11A,0.0,,False,protein,60
MYH10,0.0,,False,protein,75
ASXL1,0.0,,False,protein,17
ZCCHC10,0.0,,False,protein,50
HIP1,0.0,,False,protein,25
RAP2B,0.0,,False,protein,12
CSDE1,0.0,,False,protein,39
ZNF681,0.0,,False,protein,1
GATA6,2.45345,TF,True,protein,9
CLDN2,0.0,,False,protein,10
GBE1,0.0,,False,protein,8
PPIC,0.0,,False,protein,8
ARHGAP6,0.0,,False,protein,1
NAIF1,0.0,,False,protein,7
ZFP42,0.0,,False,protein,5
ABLIM1,0.0,,False,protein,23
KLRC1,0.0,,False,protein,6
PTPRS,0.0,,False,protein,26
CTPS1,0.0,,False,protein,44
IFT20,0.0,,False,protein,31
OTUB2,0.0,,False,protein,36
GNG12,0.0,,False,protein,16
NPC2,0.0,,False,protein,11
ATP1A3,0.0,,False,protein,5
STAG3,0.0,,False,protein,2
COLEC12,0.0,,False,protein,1
CNOT10,0.0,,False,protein,16
