name	prize	Category
ATF2	2.2576	TF
CEBPA	3.2693250000000003	TF
CEBPB	4.904933333333334	TF
CIITA	2.4814999999999996	TF
CREB1	2.843425	TF
EGR1	2.92585	TF
EGR2	3.5763999999999996	TF
ELK1	3.0237333333333334	TF
ERG	3.002	TF
ETS1	4.449333333333334	TF
ETS2	4.0352	TF
ETV4	4.8344000000000005	TF
FLI1	7.3047	TF
FOS	3.838114285714286	TF
FOSL1	5.283100000000001	TF
HDAC5	2.7585999999999995	TF
ING4	3.26225	TF
JUN	3.2224	TF
JUND	2.8408	TF
LEF1	2.4663500000000003	TF
MYB	3.055733333333333	TF
NANOG	2.3280000000000003	TF
NCOA3	3.2149	TF
NFIC	2.5103	TF
NFIL3	2.6510499999999997	TF
NFKB1	3.34746	TF
NFKBIA	5.66955	TF
NR3C1	3.8212333333333333	TF
PAX5	5.2005	TF
POU2F1	3.6978666666666666	TF
POU5F1	3.5326	TF
RARA	4.162633333333334	TF
RELA	3.292885	TF
RUNX1	3.7967666666666666	TF
RUNX2	3.236475	TF
RUNX3	2.8691	TF
SNAI1	2.64585	TF
SOX2	2.84925	TF
SP1	3.337263157894737	TF
SP3	2.8962714285714286	TF
SPI1	2.9827666666666666	TF
STAT1	3.438066666666667	TF
STAT3	3.9819555555555555	TF
STAT6	2.4040333333333335	TF
TWIST1	4.17325	TF
TWIST2	2.8075	TF
USF2	3.7031666666666663	TF
WT1	2.96262	TF
YY1	2.869025	TF
IL16	5.9484	Secreted Factors
SPP1	3.4314	ECM Glycoproteins
FGA	4.6998	ECM Glycoproteins
ANXA2	5.396	ECM-affiliated Proteins
HCFC1	2.6753	Secreted Factors
MFAP1	2.0531	ECM Glycoproteins
SPARCL1	4.2727	ECM Glycoproteins
ANXA1	3.3635	ECM-affiliated Proteins
PLG	3.3205	ECM Regulators
ANXA6	2.2085	ECM-affiliated Proteins
COL17A1	6.3722	Collagens
MXRA5	3.4413	ECM Glycoproteins
TNC	2.233	ECM Glycoproteins
ANXA5	2.4623	ECM-affiliated Proteins
ZFP91	5.3594	Secreted Factors
KNG1	3.1485	ECM Regulators
ADAM9	3.0468	ECM Regulators
LTBP2	3.4676	ECM Glycoproteins
SEMA4B	2.8289999999999997	ECM-affiliated Proteins
ADAM17	2.1991	ECM Regulators
HSPG2	3.4934	Proteoglycans
IGFBP3	2.6975	ECM Glycoproteins
ECM2	3.0612	ECM Glycoproteins
TGM2	3.9138	ECM Regulators
FN1	2.6851	ECM Glycoproteins
MUC1	2.0618000000000003	ECM-affiliated Proteins
VTN	2.5981	ECM Glycoproteins
S100A11	3.5092	Secreted Factors
SERPINA10	3.2835	ECM Regulators
FBLN1	2.6503	ECM Glycoproteins
PLXDC2	2.4923	ECM-affiliated Proteins
SERPINH1	3.9829	ECM Regulators
SERPINB1	2.9646	ECM Regulators
ANXA3	4.1001	ECM-affiliated Proteins
IGFBP5	2.32	ECM Glycoproteins
TNXB	3.0511	ECM Glycoproteins
PRG4	2.3889	Proteoglycans
LGALS1	3.5083	ECM-affiliated Proteins
ITIH4	2.5215	ECM Regulators
SERPINB6	3.5856	ECM Regulators
MFGE8	2.5335	ECM Glycoproteins
ADAMTSL3	3.3451	ECM Regulators
LAMA4	4.0882000000000005	ECM Glycoproteins
MUC21	4.6434	ECM-affiliated Proteins
PLXNC1	4.2866	ECM-affiliated Proteins
ANXA11	3.1559999999999997	ECM-affiliated Proteins
SERPIND1	2.6774	ECM Regulators
THSD4	2.8091999999999997	ECM Glycoproteins
S100A6	6.2248	Secreted Factors
TGFBI	3.0225	ECM Glycoproteins
CLEC4A	3.7327	ECM-affiliated Proteins
F9	3.3062	ECM Regulators
FBN1	3.3542	ECM Glycoproteins
PRELP	3.7672	Proteoglycans
S100A4	4.0751	Secreted Factors
MEPE	2.6706	ECM Glycoproteins
CHRDL1	3.3873999999999995	Secreted Factors
SDC2	2.3301	ECM-affiliated Proteins
TECTA	2.7033	ECM Glycoproteins
ANXA7	2.2485999999999997	ECM-affiliated Proteins
COL6A2	2.0859	Collagens
PLOD2	3.3502	ECM Regulators
SPAM1	4.4830000000000005	ECM Regulators
FGF16	2.3441	Secreted Factors
PRG3	4.8098	Proteoglycans
FST	2.6902	Secreted Factors
CRLF1	4.9733	Secreted Factors
