name	prize	Category
CEBPA	3.276057142857143	TF
CEBPB	3.17052	TF
CEBPE	2.69965	TF
CREB1	3.7222142857142857	TF
DNMT1	3.3967	TF
DNMT3A	3.1730666666666667	TF
EGR1	3.5472166666666665	TF
ELK1	3.91425	TF
EP300	2.938075	TF
ERG	3.7536199999999997	TF
ETS1	3.29935	TF
ETS2	2.871033333333333	TF
ETV4	3.2659	TF
FLI1	2.62465	TF
FOS	3.0836714285714284	TF
FOSL1	3.2181499999999996	TF
FOSL2	3.4833	TF
FOXQ1	5.91905	TF
GATA1	2.1588666666666665	TF
GATA4	2.8436	TF
GATA6	3.0466499999999996	TF
GLI1	3.061833333333333	TF
HDAC1	3.15382	TF
HDAC2	3.5721499999999997	TF
HDAC4	3.8728499999999997	TF
HDAC5	3.8022	TF
HIF1A	3.07226	TF
HOXB7	3.6619	TF
ILF3	3.2728	TF
ING4	3.6565666666666665	TF
JUN	3.6232357142857143	TF
JUND	3.1440799999999998	TF
LEF1	3.6924	TF
MAF	3.8728499999999997	TF
MECP2	2.4144500000000004	TF
MYB	3.3047999999999997	TF
NFIC	2.9970666666666665	TF
NFIL3	3.4266499999999995	TF
NFKB1	3.2149958333333335	TF
POU2F1	3.1191999999999998	TF
POU2F2	3.2813999999999997	TF
POU5F1	3.5023666666666666	TF
RARA	3.381375	TF
REL	4.0452	TF
RELA	3.2673958333333335	TF
RUNX1	2.9343333333333335	TF
RUNX2	4.27142	TF
SATB1	2.9323	TF
SMAD3	2.281	TF
SP1	3.629373076923077	TF
SP3	2.9019	TF
SPI1	2.701125	TF
STAT1	4.08064	TF
STAT3	3.315425	TF
STAT6	2.907766666666667	TF
TBP	3.98245	TF
TCF4	2.43785	TF
TFCP2	3.8592999999999997	TF
TWIST2	2.91725	TF
VDR	3.6635500000000003	TF
WT1	3.1434666666666664	TF
YY1	2.9985999999999997	TF
ZFP36	3.7669333333333332	TF
IL16	5.1625	Secreted Factors
SPP1	5.537	ECM Glycoproteins
FGA	5.7804	ECM Glycoproteins
ANXA2	4.525399999999999	ECM-affiliated Proteins
MFAP1	3.0204	ECM Glycoproteins
SPARCL1	4.6913	ECM Glycoproteins
ANXA1	4.1106	ECM-affiliated Proteins
PLG	3.5267	ECM Regulators
COL17A1	6.4931	Collagens
MXRA5	2.9656	ECM Glycoproteins
TNC	2.8392	ECM Glycoproteins
ZFP91	4.5161	Secreted Factors
KNG1	2.2099	ECM Regulators
FNDC1	4.433	ECM Glycoproteins
ADAM9	2.2526	ECM Regulators
LTBP1	3.4692000000000003	ECM Glycoproteins
LTBP2	3.1918	ECM Glycoproteins
ADAM17	2.9849	ECM Regulators
VCAN	3.6293	Proteoglycans
HSPG2	2.9153	Proteoglycans
IGFBP3	2.5177	ECM Glycoproteins
ELFN2	2.0751	ECM-affiliated Proteins
TGM2	2.4325	ECM Regulators
MUC1	3.331	ECM-affiliated Proteins
SERPINC1	2.4113	ECM Regulators
ANXA3	2.2564	ECM-affiliated Proteins
SFTPA1	4.1439	ECM-affiliated Proteins
IGFBP5	2.5444	ECM Glycoproteins
F13A1	2.7645999999999997	ECM Regulators
S100A8	5.841200000000001	Secreted Factors
COL3A1	2.5315	Collagens
SERPINB6	2.5702	ECM Regulators
ADAMTSL3	2.5814000000000004	ECM Regulators
SPOCK2	4.8247	Proteoglycans
MUC21	7.647500000000001	ECM-affiliated Proteins
S100A16	4.1538	Secreted Factors
VWA1	2.5358	ECM Glycoproteins
SERPIND1	2.787	ECM Regulators
PLXND1	3.3761	ECM-affiliated Proteins
FGB	2.1773	ECM Glycoproteins
POSTN	3.0403	ECM Glycoproteins
THSD4	2.1992000000000003	ECM Glycoproteins
F9	2.3983	ECM Regulators
FBN1	2.8824	ECM Glycoproteins
SDC1	3.9461	ECM-affiliated Proteins
CRELD2	2.6426	ECM Glycoproteins
CHRDL1	2.3544	Secreted Factors
ANGPTL2	2.4203	Secreted Factors
SDC2	5.9994	ECM-affiliated Proteins
TECTA	3.7639	ECM Glycoproteins
FNDC7	4.0246	ECM Glycoproteins
ANXA7	6.1281	ECM-affiliated Proteins
GDF6	3.7794	Secreted Factors
IGFBP1	3.8983	ECM Glycoproteins
SPAM1	4.1175	ECM Regulators
PRG3	3.3174	Proteoglycans
FST	2.0795	Secreted Factors
IL9	3.567	Secreted Factors
COL6A6	7.200200000000001	Collagens
NTN1	3.4926999999999997	ECM Glycoproteins
