dc_pair,d,z,mean,sd
DB12783_poor,1.0,-2.0087764295156143,1.873,0.4345929129656856
DB12783_poorest,1.0,-1.7993156263040282,1.847,0.4707345324065359
DB12783_richest,1.0,-2.2339574834217073,1.92,0.41182520563948005
DB12783_rich,1.0,-2.073227714317945,1.888,0.428317639141794
DB12789_poor,3.0,2.505064802198657,1.869,0.45148532645037315
DB12789_poorest,3.0,2.4506214082363824,1.86,0.46518813398452025
DB12789_richest,3.0,2.57352505121857,1.919,0.4200464260055071
DB12789_rich,3.0,2.458528931778775,1.864,0.4620649305021968
DB05107_poor,1.0,-0.12489839874774131,1.048,0.3843123729467996
DB05107_poorest,1.0,-0.22103485737392928,1.076,0.34383717076546566
DB05107_richest,1.0,-0.26124558974313306,1.115,0.4401988187171792
DB05107_rich,1.0,-0.22367584416130515,1.09,0.4023679907746142
DB08426_poor,1.0,-0.6743637651084292,1.335,0.496764531745172
DB08426_poorest,1.0,-0.7236388547853235,1.359,0.4961038197796908
DB08426_richest,1.0,-0.8389015050829153,1.434,0.5173432129640825
DB08426_rich,1.0,-0.7765201299191082,1.384,0.49451390273681894
DB05104_poor,2.0,1.0086109266560521,1.455,0.5403471106612859
DB05104_poorest,2.0,1.084165692309637,1.433,0.5229827913038823
DB05104_richest,2.0,0.8550267714146396,1.566,0.507586445839524
DB05104_rich,2.0,0.9364270841398845,1.523,0.509382960060503
DB05103_poor,1.0,0.35728863353373846,0.9355,0.1805263138714132
DB05103_poorest,1.0,0.29688260613931894,0.9505,0.16673257030346528
DB05103_richest,1.0,0.34049490993145093,0.938,0.18208789086592223
DB05103_rich,1.0,0.33660013202971006,0.937,0.18716570198623464
DB08422_poor,0.0,-2.720345848684696,1.333,0.4900112243612384
DB08422_poorest,0.0,-2.7560316106259974,1.37,0.49709154086546276
DB08422_richest,0.0,-2.819033988210081,1.429,0.506911234833082
DB08422_rich,0.0,-2.746109822827242,1.372,0.499615852430645
DB05101_poor,0.0,-2.499275257268435,0.862,0.34489998550304407
DB05101_poorest,0.0,-2.2496180083306254,0.837,0.37206316668006795
DB05101_richest,0.0,-2.8444523358476395,0.89,0.3128897569432403
DB05101_rich,0.0,-2.6337251064809206,0.874,0.331849363416596
DB08420_poor,1.0,-0.8391820719466606,1.455,0.5421946145066364
DB08420_poorest,1.0,-0.8207048061419557,1.434,0.5288137668404634
DB08420_richest,1.0,-1.1018421763917055,1.562,0.5100548990059796
DB08420_rich,1.0,-1.0226327033349816,1.521,0.509469331756093
DB09300_poor,2.0,1.1018904163492564,1.6045,0.35892861407249216
DB09300_poorest,2.0,1.1025632342822,1.607,0.35644214116739903
DB09300_richest,2.0,0.94837701053822,1.665,0.35323504922360127
DB09300_rich,2.0,1.0382592753698163,1.6235,0.362626184934293
DB08429_poor,2.0,1.9371172601206468,1.189,0.418663349243757
DB08429_poorest,2.0,1.9783527452013243,1.169,0.4200464260055071
DB08429_richest,2.0,1.6156989013821903,1.223,0.4809064358063843
DB08429_rich,2.0,1.7479488321705852,1.229,0.4410884265087897
DB13928_poor,1.0,-0.1528762057284942,1.053,0.34668573665497115
