Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	19	3.78e-09	2.65e-07	IFNB1,MMP9,IL6,BMP2,CCL2,MMP12,TNC,SFTPA1,MUC5B,MUC17,IL17C,MMP1,TNF,CXCL5,VWF,MMP3,MUC5AC,AMH,MUC6
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	18	2.53e-08	8.86e-07	MMP3,MUC17,AMH,MMP1,IL17C,SFTPA1,TNC,MMP9,BMP2,CXCL5,MUC5B,VWF,MUC6,MUC5AC,IL6,TNF,IFNB1,CCL2
SP1	Sp1 transcription factor	21	2.4e-07	5.6e-06	LAMA1,MUC4,MMRN1,WIF1,GDF5,CCL2,TNC,SERPINB5,TNF,MUC5AC,FBLN1,CXCL5,IL6,MMP9,CXCL14,TGFA,MUC6,TIMP3,TGM4,MMP11,SPP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	1.09e-06	1.91e-05	FGF2,MUC5B,MMP9,SHH,MUC4,MMP3,MMP10,IL6,MMP1,FGF1,CCL2
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	3.57e-05	0.000499	MMP1,VWF,MMP3,MMP9,TNC
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	7	4.35e-05	0.000508	MMP10,MUC4,MMP1,MMP3,VWF,TNC,MMP9
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	6.62e-05	0.000662	MMP3,IFNB1,MMP1,MMP9
JUN	jun proto-oncogene	9	7.6e-05	0.000665	MMP9,CCL2,MMP3,MMP12,TNC,IFNB1,TNF,IL6,MMP1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000278	0.00216	ADAMTS1,SPP1,FGF2,VWF
DNMT1	DNA (cytosine-5-)-methyltransferase 1	4	0.000481	0.0032	TIMP3,RELN,SFRP5,BMP2
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.000503	0.0032	FGF2,IFNB1,MMP9,MUC4,IL6,CCL2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	5	0.000738	0.0043	GDF15,MMP1,IL6,TNF,SFTPD
FOXQ1	forkhead box Q1	2	0.00206	0.0109	WNT3A,RSPO2
ETV4	ets variant 4	3	0.00218	0.0109	MUC4,MMP1,TNF
SP3	Sp3 transcription factor	6	0.00235	0.011	FBLN1,LAMA1,GDF5,TGM4,MUC6,MUC4
POU5F1	POU class 5 homeobox 1	3	0.00281	0.0123	SPP1,LEFTY1,SEMA6A
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.00317	0.0131	SPP1,SFTPD,IL6,CCL2
HDAC5	histone deacetylase 5	2	0.00378	0.0139	SLIT2,FGF2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00378	0.0139	MMP9,MMP1
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.00482	0.0147	MMP9,TIMP3
FOSL1	FOS-like antigen 1	2	0.00482	0.0147	SFTPD,MMP1
TFCP2	transcription factor CP2	2	0.00482	0.0147	SPP1,FGA
ZNF148	zinc finger protein 148	2	0.00482	0.0147	CXCL5,MMP3
SMAD3	SMAD family member 3	3	0.00588	0.0167	TNC,MMP9,FST
SPDEF	SAM pointed domain containing ets transcription factor	2	0.00598	0.0167	SERPINB5,MMP9
CDX2	caudal type homeobox 2	3	0.00643	0.0173	MEP1A,MUC17,REG4
PPARG	peroxisome proliferator-activated receptor gamma	4	0.00796	0.0199	GDF15,MMP9,MMP1,FGF1
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.00826	0.0199	S100P,IL6,CCL2
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.00826	0.0199	GDF15,SRPX,MMP1
