Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	30	5.88e-17	5.46e-15	MMP3,BGN,MMP1,IL17C,IFNG,SFTPA1,IL1B,CCL5,TIMP1,COL1A2,COL7A1,PLAU,CCL3,MMP9,MMP13,BMP2,CCL20,CXCL5,VWF,GDNF,MUC6,IL6,TNF,CCL4,IL12A,CCL22,COL1A1,A2M,TNFSF10,IL23A
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	29	4.16e-16	1.94e-14	CCL4,MMP9,IL6,IL12A,IL1B,COL1A2,IL23A,BMP2,CCL20,CCL22,TNFSF10,PLAU,MMP12,TIMP1,CCL3,SFTPA1,IL17C,MMP1,TNF,MMP13,CCL5,CXCL5,COL1A1,VWF,IFNG,BGN,MMP3,MUC6,COL7A1
JUN	jun proto-oncogene	16	4.11e-10	1.27e-08	IL1B,MMP7,CCL5,IL12A,IL23A,MMP9,MMP13,MMP3,MMP12,IBSP,IFNG,PLAU,MMP20,TNF,IL6,MMP1
SP1	Sp1 transcription factor	26	4.19e-09	9.74e-08	MUC4,MMRN1,F10,WIF1,COL7A1,SERPINB5,TNF,TNFSF10,EGF,CXCL5,PLAU,COMP,IL6,TIMP1,PDGFC,MMP9,MMP28,CXCL14,MUC6,MMP11,IGF2,CCL5,SPP1,IGFBP3,COL1A1,ACAN
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	1.77e-07	2.85e-06	MUC4,PF4,MMP1,PLAU,IL5,MMP13,MMP3,VWF,COL1A1,MMP9
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	6	1.84e-07	2.85e-06	TNFSF10,MMP3,IL1B,MMP1,MMP9,CCL5
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	12	9.18e-07	1.22e-05	MMP7,TIMP1,MMP9,FGG,A2M,IFNG,FGL1,MUC4,MMP3,IL6,MMP1,IL11
EGR1	early growth response 1	9	4.52e-06	5.26e-05	TNFSF10,IFNG,GDF15,TNF,PLAU,IL6,GDNF,PDGFC,IGF2
NFIL3	nuclear factor, interleukin 3 regulated	4	7.92e-06	8.19e-05	VWF,IFNG,IL1B,TNFSF10
EP300	E1A binding protein p300	7	1.41e-05	0.000131	IFNG,IL5,IGFBP3,LAMA3,MMP9,IL6,COL1A2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	2.24e-05	0.000189	GDF15,IL1B,MMP1,IL6,IL5,TNF,SFTPD
STAT1	signal transducer and activator of transcription 1, 91kDa	8	2.62e-05	0.000203	MMP9,MUC4,IFNG,IL6,TIMP1,IL1B,MMP13,CCL3
SIRT1	sirtuin 1	6	5.88e-05	0.000421	ACAN,IL1B,COL10A1,COL1A2,TNF,MMP9
HDAC1	histone deacetylase 1	7	6.74e-05	0.000448	MMP9,IGFBP3,SPP1,SERPINB5,SFRP1,MMP28,COL1A2
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	8.32e-05	0.000484	MMP1,VWF,MMP3,MMP9,IL5
IRF1	interferon regulatory factor 1	6	8.33e-05	0.000484	CCL5,TNFSF10,IFNG,SLPI,MMP9,IL12A
JUND	jun D proto-oncogene	5	0.000112	0.000615	IL6,IL5,TIMP1,SFTPD,CCL5
RUNX2	runt-related transcription factor 2	4	0.000132	0.000683	IBSP,MMP13,IHH,PLAU
POU2F1	POU class 2 homeobox 1	5	0.000194	0.000947	IL5,VWF,PLAU,LGALS4,SPP1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000226	0.00105	IGFBP3,SFRP1,SFRP5
ETV4	ets variant 4	4	0.000241	0.00107	MUC4,MMP7,MMP1,TNF
YY1	YY1 transcription factor	7	0.000322	0.00136	IL1B,COL1A2,VWF,MUC4,IFNG,IL5,POSTN
FLI1	Friend leukemia virus integration 1	4	0.000343	0.00138	PF4,MMP1,COL1A2,IGFBP3
E2F1	E2F transcription factor 1	8	0.000679	0.00263	IL1B,TNF,MUC4,SERPINB5,TNFSF11,IL23A,NELL2,CCL3
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.000779	0.0029	SPP1,IL5,SFTPD,IL6,IGF2
FOSL2	FOS-like antigen 2	3	0.00115	0.00411	IBSP,IL5,TIMP1
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.0013	0.00446	MMP9,MMP7,MMP3,MMP1,PLAU
ATF3	activating transcription factor 3	3	0.0014	0.00464	CCL5,IFNG,GDF15
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.00166	0.00521	COL1A2,CCL17,EGLN3,COL1A1
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	3	0.00168	0.00521	IL23A,TNF,CCL20
CREB1	cAMP responsive element binding protein 1	6	0.00181	0.00544	IFNG,IBSP,MUC4,IL6,PLAU,CCL5
KLF4	Kruppel-like factor 4 (gut)	4	0.00246	0.00716	IL6,IL1B,LAMA3,GDF15
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00292	0.00756	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00292	0.00756	WNT3A,RSPO2
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00292	0.00756	IL5,MMP13
NKX2-1	NK2 homeobox 1	2	0.00292	0.00756	SFTPA1,SFTPB
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	3	0.00361	0.00907	IL6,IL1B,CCL5
TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	2	0.00406	0.00993	MUC4,IFNG
POU5F1	POU class 5 homeobox 1	3	0.00465	0.0111	SPP1,SEMA6A,TDGF1
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.00522	0.0119	MMP9,PLG,PLAU
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00536	0.0119	MMP9,MMP1
ZFP36	ZFP36 ring finger protein	2	0.00536	0.0119	SERPINB2,IL6
HDAC2	histone deacetylase 2	3	0.00651	0.0132	TNFSF10,COL1A2,BMP7
EGR2	early growth response 2	2	0.00682	0.0132	IGF2,IL6
FOSL1	FOS-like antigen 1	2	0.00682	0.0132	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00682	0.0132	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00682	0.0132	SPP1,A2M
ZNF148	zinc finger protein 148	2	0.00682	0.0132	CXCL5,MMP3
POU2F2	POU class 2 homeobox 2	2	0.00845	0.0157	IL5,SPP1
SPDEF	SAM pointed domain containing ets transcription factor	2	0.00845	0.0157	SERPINB5,MMP9
CIITA	class II, major histocompatibility complex, transactivator	3	0.00959	0.0171	COL1A1,MMP9,COL1A2
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.00959	0.0171	SFRP5,BMP2,SFRP1
IRF8	interferon regulatory factor 8	2	0.0102	0.018	IL12A,IL1B
ATF2	activating transcription factor 2	3	0.0105	0.018	IFNG,PLAU,TNF
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	4	0.0118	0.0199	IL1B,IL5,CCL5,TNF
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.0134	0.0219	S100P,IL6,PLAU
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.0134	0.0219	TIMP1,GDF15,MMP1
SNAI2	snail homolog 2 (Drosophila)	2	0.0165	0.0259	MMP17,MMP9
GATA3	GATA binding protein 3	3	0.0167	0.0259	IL5,IFNG,MMP1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.0167	0.0259	SPP1,MUC4,S100P
ING4	inhibitor of growth family, member 4	2	0.0188	0.0282	ANGPT1,SPP1
JUNB	jun B proto-oncogene	2	0.0188	0.0282	IL1B,SFTPD
RUNX1	runt-related transcription factor 1	3	0.0192	0.0283	CCL3,TIMP1,PF4
SP3	Sp3 transcription factor	5	0.0229	0.0333	IGFBP3,TIMP1,COL1A1,MUC6,MUC4
FOXM1	forkhead box M1	2	0.0239	0.0342	FGB,SFTPB
FOXA2	forkhead box A2	2	0.0267	0.037	TPO,MMP7
RFX5	regulatory factor X, 5 (influences HLA class II expression)	2	0.0267	0.037	IFNG,COL1A2
ELK1	ELK1, member of ETS oncogene family	2	0.0325	0.0444	WISP2,MUC4
PAX5	paired box 5	2	0.0356	0.048	MMP1,TIMP1
AHR	aryl hydrocarbon receptor	2	0.0388	0.0508	IL6,IL1B
SOX2	SRY (sex determining region Y)-box 2	2	0.0388	0.0508	SEMA6A,MMP3
FOXO1	forkhead box O1	2	0.0455	0.0579	TNFSF10,IL6
HDAC4	histone deacetylase 4	2	0.0455	0.0579	MMP13,IL5
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.049	0.0616	POSTN,GDF15
RARA	retinoic acid receptor, alpha	2	0.0526	0.0652	PLAU,SFTPB
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	2	0.0563	0.068	SPP1,VWF
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0563	0.068	VWF,COL1A1
LEF1	lymphoid enhancer-binding factor 1	2	0.0639	0.0762	MMP7,CCL7
RUNX3	runt-related transcription factor 3	2	0.0678	0.0792	TIMP1,MMP9
PPARG	peroxisome proliferator-activated receptor gamma	3	0.0681	0.0792	GDF15,MMP9,MMP1
HSF1	heat shock transcription factor 1	2	0.0719	0.0815	IL1B,TNF
SMAD3	SMAD family member 3	2	0.0719	0.0815	COL7A1,MMP9
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0809	0.0906	MUC4,MMP9,COL1A1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0974	0.108	COL1A1,COL1A2
PPARA	peroxisome proliferator-activated receptor alpha	2	0.106	0.116	IL6,MMP9
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3	0.115	0.125	PLAU,MUC3A,EGLN3
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.12	0.129	IL6,IGFBP3
GATA1	GATA binding protein 1 (globin transcription factor 1)	2	0.195	0.206	PF4,IFNG
TP53	tumor protein p53	4	0.207	0.216	GDF15,MMP1,VCAN,IGFBP3
USF1	upstream transcription factor 1	2	0.237	0.245	PF4,IFNG
ESR1	estrogen receptor 1	2	0.295	0.302	F12,MMP13
AR	androgen receptor	2	0.383	0.388	SERPINB5,IGFBP3
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.418	0.418	SFRP1,IL6
