prot_id,C3N.01799,C3L.01890,C3N.00572,C3N.02423,C3N.02729,C3L.00263,C3N.01410,C3N.00578,C3N.02587,C3L.00893,C3N.01488,C3N.01413,C3N.01030,C3N.02588,C3N.00552,C3L.01889,C3N.00169,C3L.00422,C3L.00083,C3N.00551,C3N.02089,C3L.01682,C3N.01016,C3N.00580,C3N.02000,C3N.01489,C3N.00737,C3N.01405,C3N.01416,C3N.02149,C3N.02424,C3L.00279,C3L.00095,C3N.02572,C3N.00559,C3L.02345,C3L.00093,C3L.00510,C3L.00913,C3L.00412,C3N.01415,C3N.00549,C3N.02433,C3N.01021,C3N.00203,C3L.01330,C3N.00574,C3N.01071,C3N.00550,C3N.00167,C3L.00001,C3L.01632,C3N.02155,C3N.00217,C3N.02002,C3N.02145,C3N.02586,C3L.02219,C3N.00180,C3N.00704,C3N.02158,C3N.02421,C3N.00556,C3N.01072,C3L.00094,C3L.00144,C3N.00223,C3L.01924,C3N.00433,C3L.01683,C3N.00293,C3N.02380,C3L.00009,C3N.00546,C3N.01414,C3N.02087,C3L.00140,C3N.02529,C3L.00368,C3N.02067,C3L.00080,C3N.00547,C3N.01023,C3N.01024,C3L.00973,C3L.02348,C3L.02508,C3N.00560,C3L.00604,C3N.00199,C3N.00579,C3N.02582,C3L.02350,C3N.00738,C3N.00959,C3N.02003,C3N.02379,C3N.00175,C3N.01823,C3L.02549,C3L.02365
NP_001278789.1,-3.5234,-1.4032,-3.1126,-3.9905999999999997,-1.6131000000000002,-1.1360999999999999,-0.9354,-3.1602,-4.2942,-0.7724,-2.5080999999999998,-3.1839000000000004,-2.3605,-2.6323,-2.721,-3.4472,-1.4738,-3.9190000000000005,-0.2753,-2.4104,-2.044,0.4568000000000001,-0.7085,-2.3228999999999997,-2.8941000000000003,-0.182,-0.8479,-1.842,-1.9879,-0.7502000000000001,-2.4295,-0.7481,-0.7061000000000001,-3.1465,-2.7673,-2.0618000000000003,-3.8391,-3.8898,-0.395,-1.2293,-2.4667,-0.6182999999999998,-1.3309,-1.0469,-1.9521000000000002,-0.10109999999999997,-1.3215,-1.3906999999999998,-3.0259,-2.4112,-2.6769,-1.2372,-1.874,-1.9254,-1.8996,-2.4711000000000003,-3.0587,-1.9068999999999998,-2.4575,-2.0251,-2.9105,-2.6833,-2.0412999999999997,-2.097,-3.378,-1.3239,-2.9012,-1.5851,-2.7391,-3.0028,-0.9299,-3.2006,0.15369999999999995,-3.681,-0.9272999999999999,-3.154,-2.5995,-3.6747,-2.8028,-2.8436999999999997,-2.8800999999999997,-1.5875000000000001,-2.062,-3.8114999999999997,-2.0526,-3.0371,1.3253000000000001,-1.7961,-4.8855,-1.8905,-3.3074,-4.5147,-2.2612,-0.5347,-1.1195,-3.0191,-3.644,-0.5877,-1.4407,-1.7784,-1.4721
NP_004360.2,-3.9637,-0.9658000000000001,-2.748,-3.5167,-1.6254,-3.1321,-0.5772,-1.0582,-5.720599999999999,-2.3588,-0.5671999999999999,-2.9589999999999996,-3.0632,-3.381,-3.2315,-2.1189,0.13470000000000004,-5.2599,0.5102,-2.6710000000000003,-2.9253,-1.3307,-1.6072000000000002,-1.9416,-4.2812,-0.23390000000000002,-0.8587,-2.7452,-0.8041,-1.1732,-2.768,-0.33509999999999995,2.0064,-3.3023,-2.609,-1.3403,-3.2324,-5.0918,0.8845000000000001,-0.5066999999999999,-2.3765,-1.7582,-1.4284,-1.2487,-1.6441999999999999,-3.0434,-1.0845,-2.4975,-3.0422000000000002,-3.9241,-0.3931,-2.4321,-4.4475999999999996,-1.726,-3.385,-2.4813,-3.574,-1.1583,-1.1629,-0.4724999999999999,-4.478,-2.4217,-2.0208,-1.7309999999999999,-3.3720999999999997,-1.2141,-3.1487,-0.9979999999999999,-2.7228,-1.0239,-0.9047000000000001,-6.0763,-0.20609999999999995,-2.9362,-2.7174,-2.1807,-1.6677,-3.9277,-2.7180999999999997,-5.1014,-3.7897999999999996,-1.8327,-0.8435,-3.1521999999999997,-2.8516,-2.3448,0.2791000000000001,-1.4722,-4.8487,-0.4192,-3.8277,-5.1278,-1.9427,0.3057000000000003,-2.5418000000000003,-4.0141,-2.2454,-1.9340000000000002,-2.1103,-1.3897,-1.5238
NP_476507.3,-5.963799999999999,-2.4936,-3.8832999999999998,-7.1744,-4.7959000000000005,-4.318300000000001,0.09779999999999989,-2.8375,-7.911,-4.106199999999999,-3.0006000000000004,-6.5692,-6.8016,-6.0836,-5.7937,-3.0582000000000003,-0.3239000000000001,-5.5817,-0.1804,-3.0482,-5.3211,-0.794,-1.8907999999999998,-4.9413,-5.701700000000001,-1.1002,-1.6283999999999998,-5.8535,-3.1377,-2.2381,-7.5217,-2.8317,1.6945999999999999,-1.1692,-2.7134,-0.6449,-6.8194,-7.9901,2.5602,-1.8817,-4.0853,-5.7219,-3.7952999999999997,-4.6757,-3.1162,-2.9684,-1.7915999999999999,-5.7146,-6.6384,-5.0901,-2.6961,-6.357799999999999,-9.430900000000001,-3.0986000000000002,-5.0888,-5.2406999999999995,-7.1821,-2.7043,-3.1169000000000002,-1.1952999999999998,-8.391200000000001,-6.1395,-8.5277,-7.7057,-4.3738,-4.4396,-3.3913,-2.9627,-4.3454,-2.1372,1.1734,-6.134600000000001,-1.4274,-7.3867,-3.8725,-7.5981,-1.7557,-7.609,-5.1575,-9.4833,-8.2345,-5.7678,-2.9997000000000003,-8.1272,-4.7707,-3.367,0.14149999999999996,-2.8991,-7.1878,-1.178,-7.9336,-8.865,-4.26,-0.4994000000000005,-5.0601,-9.878,-4.2073,-4.7529,-5.0428,-2.025,-0.9574999999999999
NP_997647.1,-3.5505999999999998,-1.6247000000000003,-2.7003,0.37849999999999984,2.7729,-1.6988999999999999,0.06040000000000001,0.08360000000000001,-3.3873,-2.3112,1.036,-0.8552,0.6975,-0.14289999999999997,0.2121,-4.5989,2.2711,-3.5319000000000003,-0.9266000000000001,1.6362999999999999,0.09399999999999997,0.6018,2.0557,0.5285,-1.7855,2.7369000000000003,-0.4648,-0.4074,0.8343999999999999,1.4239000000000002,2.4151,2.6314,-1.5393999999999999,1.4445999999999999,-1.0017,1.3788000000000002,-0.33009999999999995,-2.4629,0.9285000000000001,-0.787,-0.0025000000000000022,2.2022,-0.2748,1.8174,-1.8237999999999999,0.1664,0.9269,-1.6678000000000002,-1.4904,-0.7523,3.5629,0.5397000000000001,1.3403999999999998,-0.5995,-3.4372,0.8687,-0.4239,-2.2602,1.1471,-0.49219999999999997,-3.4959,0.371,3.4383999999999997,1.4243999999999999,-2.2389,1.2446,-2.209,-1.8341,1.0971,0.9275,-2.1313,-2.8960999999999997,4.4399999999999995,-1.6427,-0.7245999999999999,-1.5701,-4.2687,-1.6695,-2.7085999999999997,-1.5734,-2.6557,0.5953000000000002,0.27679999999999993,0.059199999999999975,-1.5959,-2.7523,0.5663,-0.5679000000000001,-1.3757,-0.189,0.5421000000000001,-2.9086,-2.8438999999999997,-2.2353,-2.8324000000000003,-0.6272,-1.0311,1.8515,0.7176,-2.8928,0.5473
NP_997639.1,-4.592,-2.0095,-3.7323999999999997,0.9079,4.3146,-3.3666,0.7434000000000001,0.6556000000000001,-4.628,-1.6504,0.9480999999999999,-0.7499,-0.426,-0.4956,-0.5612999999999999,-6.5987,2.5638,-4.8454,-2.5734999999999997,1.9521000000000002,-0.4168,0.0903,1.2273,2.0571,-1.9014000000000002,1.1891000000000003,-2.912,-0.3035,-1.7017,2.6582,3.5282,4.5222,-3.5138,-1.1274,-3.2178,NA,NA,NA,NA,-1.9627999999999999,-1.6546,3.2659000000000002,-0.7237999999999998,NA,NA,NA,NA,-5.9554,-2.2346999999999997,NA,-3.3150000000000004,-2.2945,2.4565,NA,-4.3399,1.7821999999999998,-0.24910000000000002,-2.3213,2.9371,-2.7686,-4.7124,-2.1265,0.8954000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0912999999999997,-5.1983,-3.8254,-4.4983,-2.0484,-2.8787,-3.4467,-3.6365,-2.166,-0.9984,-1.7347000000000001,-1.3317,-3.2692,-4.7187,-3.2199,-1.8523,-0.6299,-1.4939,0.6599999999999999,-1.9483000000000001,-2.8211,-4.2295,-2.5173,0.11759999999999993,-1.3131000000000002,NA,NA,NA,NA
NP_114141.2,0.4928,0.6795,-0.8203000000000003,-1.9534,0.119,0.4241,-2.1885000000000003,-1.4079,0.19119999999999998,2.0676,-4.8196,-1.3407,-2.8953,-1.1131000000000002,-2.2882,-2.6725999999999996,-1.8317,-0.6836,5.4487,-1.0237,-1.8331,-0.30100000000000005,-1.8267000000000002,-2.184,1.7157,-0.7948,-0.4186000000000001,-1.1237000000000001,-1.8746,-2.6100000000000003,-1.8379999999999999,0.7013,-0.05149999999999999,-2.3225,-0.644,-0.5853999999999999,-3.2597,-3.3728000000000002,-0.48360000000000003,2.1301,-2.0214,0.434,3.8362,3.533,-3.6447000000000003,2.2568,-0.817,-1.9465,-0.8093,-0.2419,-4.3638,0.8678,-0.23299999999999987,-0.8003999999999999,-0.18500000000000005,1.8783000000000003,-1.049,-0.8582000000000001,-3.6302000000000003,0.3745,-1.0085,1.5123,-3.6391999999999998,-2.695,-0.8246,0.3497,6.2931,-0.10449999999999993,-0.8377,-3.1042,2.4627999999999997,-0.4141999999999999,0.2983,-1.6375000000000002,-0.3857999999999999,-4.2937,-3.5384,-4.5645,-0.08990000000000009,0.1352,-1.4006,1.1634,-1.9308999999999998,-2.3586,-0.4822,-0.05020000000000002,4.759,-2.3552,-2.0871999999999997,0.902,1.2508,-2.3757,1.6866000000000003,0.8953,0.06039999999999979,-1.9135999999999997,-3.7260999999999997,0.27479999999999993,-4.9267,0.1936,-1.8114
NP_001291288.1,-3.8675,8.8736,-1.9726999999999997,-2.7311,-0.08190000000000008,6.9627,-0.03849999999999998,-0.47689999999999966,-6.5203999999999995,-2.4477,-4.269,-1.2509000000000006,-0.858200000000001,1.7208000000000006,-1.4084000000000003,4.6552999999999995,-0.18159999999999954,9.3292,-3.3939000000000004,0.5880000000000001,0.7523999999999997,-1.7350999999999992,0.45650000000000013,1.9648000000000003,2.9171000000000005,-1.0313999999999997,0.36939999999999973,-1.0561000000000007,-7.9674,2.216099999999999,1.7963000000000005,-3.2043999999999997,-7.5956,0.5023999999999997,3.1593,5.0545,-2.2768999999999995,-3.9696999999999996,8.1935,14.6514,-0.9373999999999998,0.2959999999999998,-4.267,-2.9081,-1.0690999999999997,-2.5983,6.0108,-1.4889999999999999,2.849,-2.188600000000001,-0.16420000000000012,11.668099999999999,-0.7281000000000001,-1.3755000000000002,-1.624,-1.1910000000000003,-0.8765000000000001,-0.9300999999999999,-0.569,-8.2108,-1.3314000000000004,-3.2203,-1.6395,-1.0854,6.3126,0.27170000000000094,-10.5238,-2.9519,-7.3279000000000005,-6.211,-6.5657000000000005,-1.539299999999999,1.7238999999999987,-7.0687,0.7091000000000003,0.04970000000000052,11.3856,0.13790000000000013,-1.244699999999999,-0.27010000000000023,-1.2832000000000003,-2.4858,0.5527000000000001,-2.0284999999999997,-1.7772000000000001,-1.8529,13.8262,-1.2783,-2.489700000000001,1.8133999999999997,-0.7309000000000001,-2.638,2.1234,-2.7729,9.977699999999999,-0.5527000000000002,-7.506499999999999,-1.7244,-1.9022000000000001,9.4583,-1.6004
NP_002449.2,-3.5566000000000004,5.9625,14.4179,-2.5456000000000003,-0.08589999999999987,-1.0061,-0.9224,12.0345,11.9666,-1.6568,-2.1552000000000002,-1.7944,-1.0473,4.3197,2.2166,3.8587,-0.5361999999999999,9.9176,-1.5906,-0.40569999999999995,0.5996999999999999,-1.2729,2.3171000000000004,-0.36560000000000015,1.0438,-1.6824,-1.0747,-1.793,-1.6254,7.756600000000001,1.3857,-1.1706000000000003,-5.2735,7.4405,4.193099999999999,7.6386,-3.1506000000000003,-2.4399,7.6217999999999995,11.5083,-0.9981999999999998,0.9577,0.7902,-2.1307,-2.1988000000000003,-2.2420999999999998,10.070500000000001,-4.2476,10.516,-0.9757000000000002,-1.0223,10.863900000000001,0.19569999999999999,-0.5869,-2.0354,-1.8129000000000002,10.921100000000001,3.9626,-0.3887999999999999,1.9337999999999997,4.115,-1.3438999999999997,-0.40859999999999985,1.1771999999999991,9.825800000000001,0.9321999999999999,-7.5127,-0.15310000000000024,-5.983500000000001,-6.3727,-6.235399999999999,-0.5530000000000008,2.1411,-1.5008,4.7078,3.1907999999999994,6.2571,-0.7583000000000002,-1.2889,-1.9080000000000004,1.8697000000000008,-0.1969000000000003,8.6097,4.1441,0.7515000000000001,3.9518999999999997,7.6927,1.0293000000000005,-0.2370000000000001,6.2694,3.9776,-2.2102000000000004,11.717500000000001,-2.4650999999999996,-2.7066000000000003,0.8358999999999996,-0.8186000000000004,-2.7291999999999996,2.2862,8.0367,1.6519999999999992
NP_061978.6,-4.2646999999999995,-3.2596000000000003,-3.81,-6.6255,-6.547000000000001,-3.5076,-3.8427000000000002,-4.3319,-6.7035,-3.4623,-6.6863,-4.483,-6.893,-7.0656,-6.5608,-2.8621,-5.227,-6.1701999999999995,-1.9261,-6.3715,-5.2956,-1.6166,-5.5151,-5.7475000000000005,-4.7956,-3.6317,-2.4727,-3.8517,-4.4379,-4.7162999999999995,-7.553599999999999,-3.6414,-1.6738,-6.2461,-4.6335,-7.0607,-7.2179,-5.2006,-3.8838,-1.6983,-5.0164,-4.9008,-3.1593,-3.8045,-3.8334,-1.8068,-3.2378,-5.1328,-4.9146,-4.4861,-7.8122,-5.939299999999999,-4.3327,-4.4378,-4.6145000000000005,-6.1325,-7.4946,-5.3955,-5.4761,-2.7597,-5.927300000000001,-6.4688,-6.8657,-8.4525,-5.3065999999999995,-4.3023,-4.2280999999999995,-4.2576,-4.9275,-5.25,-0.30189999999999995,-7.2568,-4.4741,-6.654,-2.4711,-5.243,-6.2472,-6.7341,-3.8708,-5.953100000000001,-7.6839,-4.8736,-4.6822,-8.1334,-4.1131,-3.3327999999999998,1.0266,-3.4574,-9.6449,-3.7260999999999997,-7.3104,-9.276299999999999,-1.87,-0.3237000000000001,-1.9846,-6.889200000000001,-6.8925,-2.4915,-6.0864,-3.2764,-4.0724
NP_005551.3,-4.6815,-1.9816,-3.0643,-6.2249,-3.5974,-0.7918,-1.5426000000000002,-3.0796,-4.7835,-2.5463,-4.324,-2.2765,-4.5352,-3.5488,-3.9577,-3.572,-1.8255000000000001,-3.8043,-1.5404,-3.3506,-0.1361000000000001,-2.5361000000000002,-1.3599999999999999,-3.1137999999999995,-3.8632,-0.3658,-1.246,-1.7945000000000002,-2.7668999999999997,-2.4116,-4.7809,-1.9362,-1.9284000000000001,-4.7832,-3.2142,-4.5858,-5.4155,-5.819599999999999,-1.5211999999999999,-1.1432,-3.2393,0.8639000000000001,-3.3878000000000004,-2.2782,-2.8044000000000002,-3.4815,-0.7268,-1.6487,-4.2075000000000005,-3.9282000000000004,-5.510400000000001,-1.8602,-2.7038,-3.1329000000000002,-4.4072,-4.0099,-4.7806,-2.9116999999999997,-3.3602999999999996,-2.8942,-2.2594,-3.0781,-4.0604,-4.619400000000001,-2.9891,-1.0546,-3.7303999999999995,-2.7536,-3.352,-4.9099,-1.9192,-4.7274,-0.3206,-3.3572999999999995,-0.9514,-3.8402,-3.6474,-3.6326,-3.9272,-2.8377,-2.6616,-1.8891,-2.9295,-3.6860999999999997,-3.0457,-3.5556,2.3123,-1.5896,-5.925,-2.5504,-4.787100000000001,-4.8517,-3.2870999999999997,-1.6094,-2.5116,-2.7922000000000002,-2.5467,-1.1764999999999999,-2.5545,-1.1042,-1.9863
