nodes,C3L.00001_mem,C3L.00001_trx,C3L.00009_mem,C3L.00009_trx,C3L.00080_mem,C3L.00080_trx,C3L.00083_mem,C3L.00083_trx,C3L.00093_mem,C3L.00093_trx,C3L.00094_mem,C3L.00094_trx,C3L.00095_mem,C3L.00095_trx,C3L.00140_mem,C3L.00140_trx,C3L.00144_mem,C3L.00144_trx,C3L.00263_mem,C3L.00263_trx,C3L.00279_mem,C3L.00279_trx,C3L.00368_mem,C3L.00368_trx,C3L.00412_mem,C3L.00412_trx,C3L.00422_mem,C3L.00422_trx,C3L.00510_mem,C3L.00510_trx,C3L.00604_mem,C3L.00604_trx,C3L.00893_mem,C3L.00893_trx,C3L.00913_mem,C3L.00913_trx,C3L.00973_mem,C3L.00973_trx,C3L.01330_mem,C3L.01330_trx,C3L.01632_mem,C3L.01632_trx,C3L.01682_mem,C3L.01682_trx,C3L.01683_mem,C3L.01683_trx,C3L.01889_mem,C3L.01889_trx,C3L.01890_mem,C3L.01890_trx,C3L.01924_mem,C3L.01924_trx,C3L.02219_mem,C3L.02219_trx,C3L.02345_mem,C3L.02345_trx,C3L.02348_mem,C3L.02348_trx,C3L.02350_mem,C3L.02350_trx,C3L.02365_mem,C3L.02365_trx,C3L.02508_mem,C3L.02508_trx,C3L.02549_mem,C3L.02549_trx,C3N.00167_mem,C3N.00167_trx,C3N.00169_mem,C3N.00169_trx,C3N.00175_mem,C3N.00175_trx,C3N.00180_mem,C3N.00180_trx,C3N.00199_mem,C3N.00199_trx,C3N.00203_mem,C3N.00203_trx,C3N.00217_mem,C3N.00217_trx,C3N.00223_mem,C3N.00223_trx,C3N.00293_mem,C3N.00293_trx,C3N.00433_mem,C3N.00433_trx,C3N.00546_mem,C3N.00546_trx,C3N.00547_mem,C3N.00547_trx,C3N.00549_mem,C3N.00549_trx,C3N.00550_mem,C3N.00550_trx,C3N.00551_mem,C3N.00551_trx,C3N.00552_mem,C3N.00552_trx,C3N.00556_mem,C3N.00556_trx,C3N.00559_mem,C3N.00559_trx,C3N.00560_mem,C3N.00560_trx,C3N.00572_mem,C3N.00572_trx,C3N.00574_mem,C3N.00574_trx,C3N.00578_mem,C3N.00578_trx,C3N.00579_mem,C3N.00579_trx,C3N.00580_mem,C3N.00580_trx,C3N.00704_mem,C3N.00704_trx,C3N.00737_mem,C3N.00737_trx,C3N.00738_mem,C3N.00738_trx,C3N.00959_mem,C3N.00959_trx,C3N.01016_mem,C3N.01016_trx,C3N.01021_mem,C3N.01021_trx,C3N.01023_mem,C3N.01023_trx,C3N.01024_mem,C3N.01024_trx,C3N.01030_mem,C3N.01030_trx,C3N.01071_mem,C3N.01071_trx,C3N.01072_mem,C3N.01072_trx,C3N.01405_mem,C3N.01405_trx,C3N.01410_mem,C3N.01410_trx,C3N.01413_mem,C3N.01413_trx,C3N.01414_mem,C3N.01414_trx,C3N.01415_mem,C3N.01415_trx,C3N.01416_mem,C3N.01416_trx,C3N.01488_mem,C3N.01488_trx,C3N.01489_mem,C3N.01489_trx,C3N.01799_mem,C3N.01799_trx,C3N.01823_mem,C3N.01823_trx,C3N.02000_mem,C3N.02000_trx,C3N.02002_mem,C3N.02002_trx,C3N.02003_mem,C3N.02003_trx,C3N.02067_mem,C3N.02067_trx,C3N.02087_mem,C3N.02087_trx,C3N.02089_mem,C3N.02089_trx,C3N.02145_mem,C3N.02145_trx,C3N.02149_mem,C3N.02149_trx,C3N.02155_mem,C3N.02155_trx,C3N.02158_mem,C3N.02158_trx,C3N.02379_mem,C3N.02379_trx,C3N.02380_mem,C3N.02380_trx,C3N.02421_mem,C3N.02421_trx,C3N.02423_mem,C3N.02423_trx,C3N.02424_mem,C3N.02424_trx,C3N.02433_mem,C3N.02433_trx,C3N.02529_mem,C3N.02529_trx,C3N.02572_mem,C3N.02572_trx,C3N.02582_mem,C3N.02582_trx,C3N.02586_mem,C3N.02586_trx,C3N.02587_mem,C3N.02587_trx,C3N.02588_mem,C3N.02588_trx,C3N.02729_mem,C3N.02729_trx
COL17A1,1,0.93421008038557,0,NA,0,NA,0,NA,1,0.8000702703981136,0,NA,1,0.46869032926933457,1,-0.14267147321198295,1,0.1854501967881237,1,1.345211154024864,1,0.12120259706782303,0,NA,0,NA,1,-0.07704713921196163,1,0.344508897238525,1,-0.7329692412135733,0,NA,1,0.3055014259797711,1,1.891958227644622,1,0.8688152020988352,1,0.5979197869924535,1,1.2821108328709974,1,0.5072388891015149,1,-0.1903982615756349,0,NA,1,0.4306924631490424,1,1.1328269458066131,1,0.13854944899230412,1,-0.8363619856205999,0,NA,1,-0.10797776936302068,1,1.2329614190849676,1,1.600136451486485,1,-0.04987958275880588,1,0.8128280080568591,1,0.5343146632693558,1,-1.4279447056165964,0,NA,0,NA,1,-0.03817734138117987,1,-0.04175685050845378,0,NA,1,1.0976743305310772,1,-1.6042584757061642,0,NA,1,-1.717426033499208,1,-1.3545647685074815,1,-0.26010690727216096,1,1.260128975538123,1,0.5829592744861549,1,-0.01091800264270942,1,0.23694005884967892,0,NA,1,-0.20095322438682703,0,NA,1,0.06590377016570724,1,-0.8948731925087309,1,1.3689827659213754,0,NA,1,-0.9079062770234204,1,2.161522799613941,0,NA,1,-0.12013892216722044,0,NA,0,NA,1,0.9665633359590068,0,NA,1,-0.1524003954553428,1,-1.296741928759211,0,NA,1,0.8582143481449855,0,NA,1,1.2431492527549008,1,0.6357340885421161,0,NA,1,0.5439976943700583,0,NA,1,1.2133659011702758,1,0.6244448674484061,1,0.14937975865944053,1,1.0883584285716337,1,1.138425665210811,1,0.5929635435854589,0,NA,1,1.28536910399967,1,1.3905974941129906,1,-1.7855284892027266,0,NA,1,0.37727517309587816,1,0.7871748593113961,1,1.5821930147074583,0,NA,1,1.4870606759787564,1,-0.305676811930917,1,0.7450467903519418,1,0.5300467870022215,0,NA,1,-0.8421901607380844,0,NA,1,0.7527565023183778,0,NA
S100B,1,0.42547886505878657,1,0.05710578956964984,0,NA,0,NA,0,NA,0,NA,1,1.2243257253525996,1,1.046811433629879,1,-0.448617911344841,1,0.433811035700704,1,0.7907924716403446,1,1.106243244536679,0,NA,1,0.18260910986352777,1,-0.5820628317817964,1,1.1943819871082095,1,1.88126530440126,0,NA,1,1.3994965940822812,1,-0.06703053397828872,1,-0.03565470390481919,0,NA,0,NA,0,NA,1,-1.3512914292469194,0,NA,0,NA,1,-1.1714988096142993,1,1.2693064278023245,0,NA,0,NA,1,0.34775533578965273,1,-0.2506637635161673,0,NA,1,-0.2803471214279973,1,-2.0023073557298416,1,-1.943070830072461,1,0.01466379536238407,1,-0.00408358858192975,1,-0.9383933168900374,1,0.666460862842986,1,-0.41561470419287205,0,NA,1,0.38596614959281994,1,-1.7930917585179516,0,NA,1,-0.4383979832918645,0,NA,1,1.7195040227984142,0,NA,1,1.1173745037536151,1,-1.3836436855674883,1,0.3311560895889582,1,-0.4016192613177768,1,0.4067314811144729,1,0.01511946094436387,0,NA,0,NA,1,-0.18621963120758875,0,NA,1,-0.8892465291193536,1,-1.484150493935615,1,0.2978274070212893,1,-1.1254114907511947,1,-0.8379516036050508,1,1.0694645225625912,1,-1.5090819107782265,0,NA,0,NA,1,-0.9656030616425482,1,1.3930521808514231,1,-1.701828451955702,1,-0.768950815476674,1,-0.15718722412715846,1,2.168920476796824,0,NA,1,0.5102326633070384,0,NA,1,0.2693157606059788,1,0.2010961134752816,0,NA,1,1.6499824740049176,1,2.231932517276323,1,-1.746809154405427,1,-0.16356654227487635,1,-1.0518540468030193,1,-2.282541688647448,1,0.9754672225084626,0,NA,1,0.5541718444265237,1,0.04291506144513456,1,1.1833158229744132,0,NA,1,1.216449220292662,1,-0.3178418893166248,1,0.9221543494168208,1,0.5249441520966733,1,0.23943711744472873,1,1.2310305189160171,1,-0.3043672071066492,1,0.2444494388465072
ETS2,1,-0.24070116447730552,1,0.05133932824442512,1,0.9933511480742268,1,1.0220891752835468,1,-0.7695067552433825,1,0.9643542197188784,1,0.6952264784207938,1,-1.5559189863092129,1,-1.320189492848986,1,0.9193054203096744,1,-0.716820372026297,1,0.4297233531671284,1,1.3560716536621218,1,0.1375534098723831,1,0.4483642356812816,1,0.5595622779011246,1,1.4075929817220718,1,2.7580213594140455,1,0.4183317027418127,1,-0.48678670377872857,1,0.9765225735822832,1,1.3993081450491147,1,-0.3600545927970909,1,0.02972108255092801,1,0.03179229171916701,1,-0.35811283420186657,1,-0.08406597112921477,1,0.3600789448850847,1,1.25095778837398,1,0.6712781224130272,1,-1.2458848639384046,1,-0.13545784861615032,1,1.3294048356210406,1,-0.4823853842962202,1,1.3631914351779435,1,-0.5728713348336707,1,2.230380823805104,1,-0.18995653985544436,1,-1.5832330572153683,1,0.4469402793781171,1,-0.4470453778631379,1,-1.0194758117352545,1,-1.8346260700104036,1,-0.10853212942903992,1,-0.1518980713890488,1,0.7185275815634847,1,-0.6549429981251508,1,-1.5403849175474194,1,0.319949267250449,1,-1.098440661274375,1,-0.4792785705438616,1,0.889143436797191,1,0.2504343095414199,1,-0.04018222687714615,1,0.25444727730488437,1,0.1744468231816434,1,-1.07164439266028,1,-0.3291159058465172,1,0.695097027847779,1,2.560868136712275,1,0.4780084169017055,1,0.0356758089096157,1,0.9080432204573736,1,0.5603389813392148,1,-1.6505473551831429,1,-1.5352068946268207,1,-0.4541651593789609,1,-1.162907046635821,1,-1.0957221992410602,1,1.5272053111878865,1,0.11036878953924226,1,1.309728348522769,1,-1.2794125623492771,1,-0.03034398332800977,1,-0.8741028182394633,1,-0.18620247323801148,1,0.02493141134937447,1,-1.298959598874534,1,-0.6698298140218699,1,-1.0751395581316836,1,-0.46257944662493267,1,-0.35888953763995673,1,-0.5345539652212459,1,-0.00186485726472012,1,-0.3808961350524978,1,-0.22464929342345216,1,0.42441587967351513,1,1.8457831713776824,1,-0.6703476163139297,1,-0.16251301837627538,1,-0.3981130612634865,1,0.396584006475301,1,-1.7579913307855526,1,0.8714087082941426,1,-2.035403908756593,1,0.7436409927283855,1,-1.2075674943259784,1,-0.5064631908770013,1,-0.0159749697233503,1,-0.7383091671467795,1,2.296659517188759
FBN1,1,2.228597810756114,0,NA,0,NA,1,2.5963906256944687,0,NA,1,0.19179062505270147,1,0.6883403486446752,0,NA,1,0.12329289119858204,1,0.29995113606977264,1,1.4229844289151423,1,-0.13504478201411824,1,0.9050144517811584,1,-3.0645586881359046,0,NA,0,NA,0,NA,0,NA,1,-0.2062494709861829,0,NA,1,1.208193424991143,1,-0.41621503317819064,1,1.836207012354682,0,NA,1,0.8597023769807532,1,0.19755761639093505,1,-0.5740422859245374,1,1.1885385769608372,1,-0.7958949118953533,0,NA,0,NA,1,2.0541757461997485,1,-1.1873441606905426,0,NA,1,0.05138204002183529,0,NA,1,-0.08855577020590986,1,0.30430580299864307,1,-0.8255537244919822,1,0.8118010407631828,1,0.5826514053439903,0,NA,0,NA,1,-0.11091757335416196,0,NA,1,-0.578750033955749,1,-0.9128824504709449,1,0.2873579100862835,1,0.7331816486419593,1,1.729105744644634,0,NA,0,NA,0,NA,1,0.9269054801262896,1,0.6317296785693638,0,NA,1,0.12599984631652933,1,-1.0229260607005006,0,NA,0,NA,0,NA,0,NA,1,1.0548385328744465,1,0.14247696442576685,1,-0.3620759308192656,1,0.9040729021749164,1,-0.6889113378860848,1,0.9506796076839048,1,-0.44928696309744776,1,0.08468935734265241,0,NA,1,-0.24379376153509044,1,0.17554889434502396,1,0.6722163116377776,1,0.9224331194966392,1,0.24851898882879384,1,-0.4476392512865236,1,-0.3758460938105568,0,NA,0,NA,0,NA,0,NA,1,0.0363172463219609,0,NA,1,1.0041125478381487,0,NA,0,NA,0,NA,0,NA,1,-1.281734508716322,0,NA,1,0.942087967526945,1,-0.5778084843495068,0,NA,0,NA,0,NA,1,-0.09267504973321924,0,NA,0,NA,1,-5.010721914456033e-5,1,1.09049972421087
RARA,1,-0.8579414847563887,1,-0.4791013928077057,1,-0.00736646433271119,1,2.087999365543545,1,-1.1680180425407674,1,-0.83210177160769,1,0.48230677740253747,1,-0.43062523673535463,1,-0.16432670535992697,0,NA,1,0.24526478074918973,1,-0.16582156479828172,0,NA,1,-0.22497528828745,1,0.15557321444792355,1,-1.3570109858184356,1,0.07527790747345575,0,NA,1,-0.8350914904843995,1,-0.5922836074259705,1,-1.4279100334661043,0,NA,1,-0.30356218447522726,0,NA,0,NA,1,-0.00160057792762898,0,NA,1,-0.6751415305804742,1,-0.8803643763317053,1,-0.5365467055101834,1,0.585024975952321,1,-0.7432644106997691,1,-1.294867543452559,1,0.3727549357059898,1,1.9780204211503247,1,2.562724012895248,1,1.3034117117557993,1,0.0221036217377055,1,0.13955686332269682,1,-0.6458849958583943,1,-1.644023997982489,1,0.38022923289776256,1,-1.0900718003979994,1,1.267321533886956,1,1.484716806493359,1,-0.8203564474491917,1,0.3678432546942538,1,0.6666015910168067,1,-0.6685214387820467,1,-0.3795864644829667,1,-0.6358480824865856,1,-0.2431271528960401,1,-0.8899741870068413,1,-0.5028055924730402,1,0.9574585274509132,1,-0.48977896022452294,1,-1.0247250878070773,1,-1.5263572050491612,1,-2.022864089931172,0,NA,1,-0.35225189189591416,1,-0.8297527067759909,1,0.13037415534423433,1,0.518183403923044,1,0.35182690356902796,1,-0.30014536290184507,1,-0.4652205551658431,1,-0.05648327445007078,1,-0.24398135828938536,0,NA,1,0.00373820578077962,1,1.4556738231196158,1,1.3179332034426705,1,-1.1848885990593383,1,-0.5813924886608165,1,0.6023226351675657,1,-0.3909046859447934,0,NA,1,-0.43147944212869993,1,0.2057577813069653,1,-0.5132696085415216,1,-0.45048551213063526,1,0.05541763207817606,1,-2.9351554500240544,1,1.164176232640499,1,0.26213533726776184,0,NA,1,-0.8895470843101686,1,2.074545630598354,0,NA,1,1.2880360146755818,1,0.6288030023612728,1,0.6787740178719787,1,0.6843263529287231,1,0.9583127328442586,1,1.3459084300747322,0,NA,1,2.3995707827662787,1,0.3637857790758631,1,1.587862107739816,0,NA
MUC1,1,-0.18436058345771253,1,-1.346405723872609,0,NA,1,-0.3738093653155502,1,-1.1921204418554785,1,-0.7627784499732566,1,-1.4959157157879148,1,1.1545439376374855,1,-1.0097043599657822,1,-0.31207788781741913,1,0.6318667301286927,1,1.30735322089587,1,-0.2381043029673372,1,0.00421996383615751,1,1.1051413909477004,1,1.1576695820677705,0,NA,1,-0.5880896557028761,1,0.08348977952644482,0,NA,1,-0.32649058157928906,1,0.01186042799907667,1,-1.3728000546172392,1,1.2464031545053094,1,1.486383187986091,1,-0.1897436377543145,1,0.1366257348412917,1,0.05570627347946579,1,0.27754020457331346,1,-0.4488248316423938,0,NA,1,-0.6839427515649539,1,0.11005775718386826,1,0.4958143739548925,1,0.9569337508783466,1,0.48739249868440154,0,NA,1,1.2511784446071343,1,-2.7532930113265084,1,-0.4340648440549358,1,0.7601049752267804,1,0.6138942746545534,1,-0.4183497984471137,1,-0.21240455987388215,1,1.097153632959194,1,-2.9511636684548375,1,0.6459321300649762,1,0.7136544260544869,1,0.4188019681309223,1,-1.2685250834846713,1,1.41701124632504,1,-1.4200320148971033,1,0.2568762219508732,1,-1.3380706720585154,1,1.3334002578149124,1,1.2107187139262203,1,0.2205840171770066,1,0.4247927866223022,0,NA,1,-0.6986159156960143,1,0.06569097096509874,1,-0.2665823966654906,1,1.0671127170458978,1,0.44189700753247385,1,1.3314033183177858,1,-1.561554248823903,1,0.32208063770487694,1,0.01759077612126662,1,-0.2684925127062206,1,0.1696186482720795,1,1.3793298662488247,1,-0.2359337165574174,1,-0.7923852486045682,1,0.6623417633239727,0,NA,0,NA,1,-0.1414697959976884,1,-0.7267467155685806,1,0.776514608485777,1,0.8814841672695194,1,-0.4006378133421642,1,0.6342109634514065,1,-0.11299170229953497,0,NA,1,-0.4836410376575141,1,-0.22534125487700665,1,-0.1814954093966175,1,0.35420531657169635,1,-0.6400969060845647,1,1.5642638283740289,1,1.451914275796557,1,-0.34897785678606275,1,-1.102865928679559,1,0.4953802566729087,1,-0.26111251891249204,1,-0.15562201939036852,1,0.05718227223821119,0,NA,1,-0.04414070137686519,1,-0.01166872868445858,1,0.7995228244309318
S100A9,1,-1.099442148093246,1,-0.19191830935954485,0,NA,0,NA,1,-0.29718963831843326,0,NA,1,0.9354843597294454,1,0.6312208938812434,1,-0.4399253515458058,1,-0.13733760895561892,1,0.37345874844296534,0,NA,0,NA,1,1.5908118481318478,0,NA,0,NA,1,-0.6641730318237784,1,0.7087230945644499,1,-0.06809433004405951,0,NA,1,1.0610439095621622,0,NA,1,0.02377121285070655,0,NA,0,NA,1,-1.112847934157368,1,0.8851528147297727,0,NA,0,NA,1,-0.7508917104260687,1,0.06632261415245179,1,-0.3754100061122177,0,NA,1,-0.9213965519291232,1,1.7798094927322845,1,-0.877408816406222,1,-1.2656978341920468,0,NA,1,-0.6042659253497321,0,NA,1,-0.5797285490716516,1,-1.2047733243113488,0,NA,0,NA,0,NA,0,NA,1,2.040683695649734,0,NA,1,1.1763097308099264,1,-0.0774903497407879,0,NA,0,NA,1,0.2930240320582325,1,1.9560596711199632,1,2.908169717968713,1,-0.40443592683141066,0,NA,0,NA,1,-0.382831066254857,0,NA,1,-1.5973114975014269,1,-0.4995930689829922,1,-0.14134737532301284,1,0.21163175952606195,0,NA,0,NA,1,-0.6463983958369734,0,NA,1,-0.09855658498440832,1,1.1583555530454774,0,NA,0,NA,0,NA,0,NA,1,1.185286819692151,1,0.9277042160315174,1,-0.4557250279785211,1,-0.32202625089258824,1,-1.326023871480597,0,NA,1,1.197675202349621,0,NA,0,NA,1,1.357108300897932,1,-0.699063983946025,0,NA,0,NA,1,-1.1099752657150563,0,NA,0,NA,1,-0.20993233438320907,0,NA,0,NA,1,0.7807193473998921,1,-0.958621547160748,0,NA,0,NA,1,-0.926782805258458,1,0.8574435337133055,1,1.376678354661182,1,-2.8738535365534473e-4
SPP1,1,-1.4064082583855644,1,1.8169688404422089,1,0.33309920099042695,1,-0.09770369170488918,1,1.387361399033764,1,-1.0479616277903814,1,1.644320507222412,1,-1.8334989602427,1,-0.21202658582310024,1,0.5110326872679726,1,1.1347436665711237,1,-0.6218776217537691,1,1.0504328916022725,1,1.5182318557018315,1,-1.04978626396508,1,0.1476154960589552,0,NA,1,-0.00571686110454536,1,1.238873765506533,1,-2.6772358948190393,1,-0.02792708764484685,1,-1.437175399400317,1,1.1474532013052343,1,-1.5956670726440003,1,-0.6937934544324236,1,-0.08291784684094868,1,1.6298492548023844,1,0.8568956201066115,1,-0.8000627819864456,1,-1.8852179580221,1,0.4214996777301559,1,-0.6066513474683495,1,-1.9014509281280425,1,-0.03138760452789759,1,0.439305610055667,1,0.8859639619242297,1,-0.5195092405042759,1,-0.49931240560502144,1,0.25029846975236186,1,-1.266980887243046,1,0.6155402971360785,1,-2.305135952158005,1,1.600340483563287,1,0.3390135389360038,1,-0.9104218113113448,1,-0.8841848014889487,1,-0.00326304004201923,1,0.5078867628288369,1,0.5052441862999619,1,1.3846559040161062,1,0.7257105709946298,1,-1.7204973543889264,1,-0.05718418492881386,1,0.6062912792850182,1,0.527076901907568,1,-0.921998813247366,1,-0.17710682454868776,1,-0.29551942043777585,1,-0.6828456373842293,0,NA,1,-1.5883685279452044,1,-0.311437798099805,1,0.7089113344896424,1,-0.37681010794505626,1,1.2082953799581284,1,0.5300969893691384,1,-0.03931533411452032,1,-0.4376522865979507,1,0.06336763957888636,1,0.06393390597793068,1,0.2096531259987214,0,NA,1,1.1988576066407204,1,1.2129513481280505,1,0.13842939669667753,1,0.08111065341561476,1,-0.01899266223770064,1,0.22947244996527932,1,0.657569847642939,1,-0.5039683737749429,1,0.8467657434125929,1,0.8238634134956808,1,1.1829392289786913,1,0.4081609581082181,1,0.35109388878228676,1,0.43471256037452755,1,-0.31477247800528946,1,0.10382422786617798,1,0.7703826980303642,1,-1.2135630902665124,1,1.208672890890825,1,0.7169019825650488,1,1.1480823861930614,1,-0.6415081902539794,1,-1.119625786513905,1,0.9262317947451736,1,-0.1999462359768167,1,-0.04554426450401008,1,0.735588773733518,1,0.6761308018338431,1,0.40287580505046927
TIMP2,1,0.8421743736235553,0,NA,0,NA,0,NA,1,1.0166409415931967,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0.5337163124980014,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,-1.571572055430457,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
EGLN1,1,0.11546689877643848,1,-0.4968568831630764,1,0.9631833830437538,1,-0.6507577925092267,1,-0.4352965194246167,1,-0.1315314458954966,1,-0.542522562821524,1,0.02438783603224237,1,-0.7443598209804086,1,-1.1894109752207491,1,-0.26297796027146964,0,NA,1,0.776231622674087,1,-0.5092194152253083,1,0.40737403338872485,1,0.20099543692126584,1,0.3508596011042378,0,NA,1,0.09452628324245482,1,-0.8152551579087174,1,4.449922017738483,0,NA,1,-1.0163355263495055,1,-0.3565799887426526,1,0.2943451688197497,1,-0.254904469945114,1,0.7868280787274283,1,0.34985041481344353,0,NA,1,-0.7816997137398026,0,NA,1,-0.7837180863213912,1,0.438911104976051,1,-0.5213296507148413,1,-0.5700228892456729,1,0.21108729982921007,1,0.29484976196514684,1,0.09351709695166052,1,0.19468802260380083,1,0.12278349938469778,0,NA,0,NA,1,0.05491572132877308,1,0.46363616910051386,1,-0.29426273528609664,1,2.493614393033494,1,0.3614560571575792,0,NA,1,-0.9340868436497604,1,-1.5691173171321506,1,-0.2415327515920877,1,0.5592565701532854,1,-0.939132775103732,1,-0.4221770976442896,1,1.2308700466769733,1,-0.02228702991699955,1,-0.27206063688861953,0,NA,0,NA,0,NA,1,0.4583379410738432,1,1.310595763649733,1,0.0506266795928967,1,2.7560028286400446,1,0.7550387105674042,1,-0.6038306299872856,1,-1.510584512266074,1,-0.5430271559669223,0,NA,1,0.6331794659539771,1,0.27617981558545096,1,-1.0128033743317255,1,-0.567247626945988,1,0.7139143692175309,1,-0.29628110786768524,1,-1.0327348035749149,1,-0.4940816208633926,1,-0.03868630714240879,1,0.26028513150543775,1,0.03523658865828177,1,-0.4138513107452359,1,0.4525351199017753,1,0.3975344670534798,1,3.783354472668765,1,-0.9292932087684868,1,0.8867375215160763,1,1.6713798626087395,1,-0.07678308961989908,1,0.3405154416235945,0,NA,1,0.385928824709344,0,NA,1,0.02590161546843384,1,-0.14919220598439817,0,NA,0,NA,1,-0.3144464611019851,1,-0.01925947104461662,1,-0.3717177831045684,1,0.2335416947993863,1,0.9947204546310788
