patients,counts
C3N.00169,182
C3L.00913,214
C3L.00279,250
C3N.01016,167
C3N.02149,213
C3N.01489,168
C3L.00095,169
C3N.01021,199
C3N.00574,181
C3L.02508,202
C3L.00009,216
C3L.00083,182
C3L.00412,145
C3N.00738,101
C3L.02345,249
C3L.01632,254
C3L.02365,208
C3N.00293,164
C3N.02000,214
C3N.02145,239
C3N.01488,191
C3N.01405,202
C3N.02423,260
C3N.00217,227
C3N.00549,238
C3N.01030,231
C3N.00551,199
C3N.00199,242
C3N.01023,180
C3N.00547,161
C3L.01683,238
C3N.01072,243
C3N.00556,225
C3N.02421,228
C3N.00180,204
C3N.02572,204
C3N.00737,149
C3N.00552,235
C3N.02729,230
C3N.00578,254
C3N.00433,196
C3N.01416,203
C3L.01924,204
C3L.00144,182
C3N.00175,252
C3N.00580,195
C3L.00094,222
C3N.00560,214
C3N.00579,200
C3N.02588,271
C3L.01890,151
C3N.00704,174
C3N.01415,212
C3N.01410,212
C3N.01413,190
C3N.01071,216
C3N.01823,217
C3L.02219,196
C3L.00973,231
C3N.02067,215
C3N.02586,210
C3L.02549,228
C3N.02379,238
C3N.01024,217
C3N.00167,174
C3N.00550,244
C3L.00093,243
C3N.00572,210
C3L.01682,142
C3N.00959,210
C3N.02003,199
C3N.02087,218
C3L.00263,199
C3N.02155,201
C3L.00368,169
C3L.01330,193
C3L.00001,197
C3N.02433,217
C3N.00559,160
C3N.01414,161
C3L.00422,211
C3L.02350,183
C3N.02582,227
C3L.00604,228
C3L.02348,181
C3L.00080,171
C3N.02529,217
C3L.00140,222
C3N.00546,215
C3N.02380,202
C3N.00223,192
C3N.02158,222
C3N.02002,181
C3N.00203,214
C3L.00510,235
C3N.02424,226
C3N.02089,214
C3L.01889,195
C3L.00893,188
C3N.01799,221
C3N.02587,203
