name	prize	Category	Division
IL16	3.4669999999999996	Secreted Factors	Matrisome-associated
FGA	7.3888	ECM Glycoproteins	Core matrisome
ANXA2	3.5709	ECM-affiliated Proteins	Matrisome-associated
MFAP1	4.0863	ECM Glycoproteins	Core matrisome
SPARCL1	2.923	ECM Glycoproteins	Core matrisome
PLG	3.1508000000000003	ECM Regulators	Matrisome-associated
SERPINA1	3.3764	ECM Regulators	Matrisome-associated
TNC	2.2849000000000004	ECM Glycoproteins	Core matrisome
KNG1	4.629	ECM Regulators	Matrisome-associated
LTBP2	7.0497	ECM Glycoproteins	Core matrisome
ADAM17	2.5064	ECM Regulators	Matrisome-associated
IGFBP3	2.234	ECM Glycoproteins	Core matrisome
S100A9	4.9275	Secreted Factors	Matrisome-associated
ELFN2	5.651400000000001	ECM-affiliated Proteins	Matrisome-associated
SEMA4C	2.5254000000000003	ECM-affiliated Proteins	Matrisome-associated
FN1	2.6359	ECM Glycoproteins	Core matrisome
VTN	2.3545999999999996	ECM Glycoproteins	Core matrisome
S100A11	3.4603	Secreted Factors	Matrisome-associated
SERPINC1	5.5085999999999995	ECM Regulators	Matrisome-associated
SERPINA10	5.4571000000000005	ECM Regulators	Matrisome-associated
ANXA3	2.8089	ECM-affiliated Proteins	Matrisome-associated
F13A1	2.572	ECM Regulators	Matrisome-associated
SEMA4D	3.5846	ECM-affiliated Proteins	Matrisome-associated
PRG4	3.3634999999999997	Proteoglycans	Core matrisome
LGALS1	2.7028	ECM-affiliated Proteins	Matrisome-associated
S100A8	4.3628	Secreted Factors	Matrisome-associated
EMCN	5.3589	ECM-affiliated Proteins	Matrisome-associated
ADAMTSL3	3.9169	ECM Regulators	Matrisome-associated
SPOCK2	2.5341	Proteoglycans	Core matrisome
LAMA4	2.2779	ECM Glycoproteins	Core matrisome
MUC21	5.4595	ECM-affiliated Proteins	Matrisome-associated
PLXND1	2.1637	ECM-affiliated Proteins	Matrisome-associated
FGB	4.889	ECM Glycoproteins	Core matrisome
COL20A1	2.261	Collagens	Core matrisome
LAMB2	2.0228	ECM Glycoproteins	Core matrisome
CLEC4A	2.3757	ECM-affiliated Proteins	Matrisome-associated
F9	2.1449000000000003	ECM Regulators	Matrisome-associated
S100A4	2.5936	Secreted Factors	Matrisome-associated
CHRDL1	2.266	Secreted Factors	Matrisome-associated
S100P	3.0592000000000006	Secreted Factors	Matrisome-associated
CLC	2.0787	ECM-affiliated Proteins	Matrisome-associated
SDC2	4.5431	ECM-affiliated Proteins	Matrisome-associated
TECTA	5.4595	ECM Glycoproteins	Core matrisome
ANXA7	4.419499999999999	ECM-affiliated Proteins	Matrisome-associated
GDF6	9.8013	Secreted Factors	Matrisome-associated
COL19A1	2.1523	Collagens	Core matrisome
IGFBP1	2.0222	ECM Glycoproteins	Core matrisome
SPAM1	4.7058	ECM Regulators	Matrisome-associated
S100A3	2.3154	Secreted Factors	Matrisome-associated
FST	3.0816999999999997	Secreted Factors	Matrisome-associated
CRLF1	5.3909	Secreted Factors	Matrisome-associated
COL6A6	6.4601	Collagens	Core matrisome
GDF9	6.0619	Secreted Factors	Matrisome-associated
ANGPTL7	3.7104999999999997	Secreted Factors	Matrisome-associated
