name	prize	Category	Division
IL16	5.6455	Secreted Factors	Matrisome-associated
SPP1	3.7636999999999996	ECM Glycoproteins	Core matrisome
FGA	6.8934999999999995	ECM Glycoproteins	Core matrisome
ANXA2	4.5166	ECM-affiliated Proteins	Matrisome-associated
HCFC1	2.0169	Secreted Factors	Matrisome-associated
SPARCL1	5.4483	ECM Glycoproteins	Core matrisome
PLG	3.6803	ECM Regulators	Matrisome-associated
COL17A1	3.715	Collagens	Core matrisome
MXRA5	3.0107	ECM Glycoproteins	Core matrisome
SERPINA1	2.3402000000000003	ECM Regulators	Matrisome-associated
ZFP91	3.7321	Secreted Factors	Matrisome-associated
KNG1	3.8834	ECM Regulators	Matrisome-associated
LTBP1	2.0303	ECM Glycoproteins	Core matrisome
LTBP2	7.425	ECM Glycoproteins	Core matrisome
ADAM17	2.4916	ECM Regulators	Matrisome-associated
ELFN2	5.3742	ECM-affiliated Proteins	Matrisome-associated
FBLN2	3.8205	ECM Glycoproteins	Core matrisome
TGM2	3.8430999999999997	ECM Regulators	Matrisome-associated
FN1	2.9206000000000003	ECM Glycoproteins	Core matrisome
MUC1	3.6518	ECM-affiliated Proteins	Matrisome-associated
S100A11	2.5498000000000003	Secreted Factors	Matrisome-associated
SERPINC1	3.7768	ECM Regulators	Matrisome-associated
SERPINA10	3.7177999999999995	ECM Regulators	Matrisome-associated
PLXNB2	2.7551	ECM-affiliated Proteins	Matrisome-associated
ANXA3	3.2999	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	2.2359999999999998	ECM-affiliated Proteins	Matrisome-associated
PRG4	2.8919	Proteoglycans	Core matrisome
SFTPB	3.4855	ECM-affiliated Proteins	Matrisome-associated
LGALS1	3.0884	ECM-affiliated Proteins	Matrisome-associated
EMCN	5.7496	ECM-affiliated Proteins	Matrisome-associated
ITIH4	2.2365000000000004	ECM Regulators	Matrisome-associated
MFGE8	3.5029000000000003	ECM Glycoproteins	Core matrisome
ADAMTSL3	3.8122	ECM Regulators	Matrisome-associated
SPOCK2	3.6018999999999997	Proteoglycans	Core matrisome
AGRN	2.6155999999999997	ECM Glycoproteins	Core matrisome
LAMA4	3.5242000000000004	ECM Glycoproteins	Core matrisome
MUC21	4.7454	ECM-affiliated Proteins	Matrisome-associated
SEMA6D	2.2241	ECM-affiliated Proteins	Matrisome-associated
SEMA4F	2.6158	ECM-affiliated Proteins	Matrisome-associated
NRG1	5.4765	Secreted Factors	Matrisome-associated
COL16A1	2.0861	Collagens	Core matrisome
S100A6	3.3993	Secreted Factors	Matrisome-associated
ITIH2	2.2219	ECM Regulators	Matrisome-associated
F9	3.2972	ECM Regulators	Matrisome-associated
S100A4	2.5652	Secreted Factors	Matrisome-associated
SDC1	2.1612	ECM-affiliated Proteins	Matrisome-associated
PAPPA	7.7132000000000005	ECM Regulators	Matrisome-associated
SDC2	11.513100000000001	ECM-affiliated Proteins	Matrisome-associated
TECTA	3.7500999999999998	ECM Glycoproteins	Core matrisome
FNDC7	3.5229999999999997	ECM Glycoproteins	Core matrisome
ITIH1	2.0821	ECM Regulators	Matrisome-associated
ANXA7	4.1533	ECM-affiliated Proteins	Matrisome-associated
GDF6	3.3046999999999995	Secreted Factors	Matrisome-associated
COL19A1	2.3156	Collagens	Core matrisome
SPAM1	2.9797000000000002	ECM Regulators	Matrisome-associated
FST	2.7531	Secreted Factors	Matrisome-associated
CRLF1	3.906	Secreted Factors	Matrisome-associated
IL9	4.0625	Secreted Factors	Matrisome-associated
KY	2.0003	ECM Regulators	Matrisome-associated
