name	prize	Category
AHR	2.7933666666666666	TF
ATF2	2.2731500000000002	TF
ATF4	2.5239333333333334	TF
CEBPA	3.122333333333333	TF
CEBPB	3.4682	TF
DNMT1	2.7026	TF
EGR1	2.50725	TF
EP300	2.6467666666666663	TF
EPAS1	2.15875	TF
ERG	3.3228	TF
ESR1	3.26835	TF
ETS1	3.7193571428571426	TF
ETS2	4.027533333333333	TF
ETV4	3.8394000000000004	TF
FLI1	3.4019	TF
FOS	3.913475	TF
FOXA2	2.3063000000000002	TF
FOXQ1	3.3808000000000002	TF
GLI1	3.5316	TF
HDAC2	3.0854333333333335	TF
HDAC4	3.7704999999999997	TF
HIF1A	2.636	TF
JUN	3.5354636363636365	TF
KLF4	2.97536	TF
NCOA3	3.01275	TF
NFIL3	2.6684	TF
NFKB1	3.303952380952381	TF
NFKBIA	3.833625	TF
NR3C1	3.9259999999999997	TF
NR5A1	2.9389000000000003	TF
POU2F1	4.0802	TF
POU5F1	3.29075	TF
RARA	3.548	TF
REL	2.63375	TF
RELA	3.4983714285714287	TF
RUNX1	2.5251	TF
RUNX2	3.281925	TF
SIRT1	2.68335	TF
SNAI1	3.0340499999999997	TF
SOX2	3.4022	TF
SOX9	2.48015	TF
SP1	3.4932142857142856	TF
SP3	4.336533333333334	TF
SPI1	2.905	TF
STAT1	3.219325	TF
STAT3	3.4463666666666666	TF
STAT6	5.0661	TF
TBP	2.6284	TF
TFCP2	3.7474499999999997	TF
TP53	3.3049	TF
TWIST1	4.48045	TF
USF2	2.4549666666666665	TF
VDR	2.29	TF
WT1	2.5585400000000003	TF
XBP1	2.10915	TF
YY1	2.4260500000000005	TF
ZFP36	2.301433333333333	TF
IL16	3.4889	Secreted Factors
SPP1	2.7606	ECM Glycoproteins
FGA	5.8752	ECM Glycoproteins
ANXA2	3.7134	ECM-affiliated Proteins
MFAP1	2.1681	ECM Glycoproteins
SPARCL1	3.6281	ECM Glycoproteins
PLG	2.0945	ECM Regulators
ANXA6	2.2093	ECM-affiliated Proteins
MXRA5	2.1386	ECM Glycoproteins
SERPINA1	2.0620000000000003	ECM Regulators
TNC	2.5156	ECM Glycoproteins
ANXA5	2.0227	ECM-affiliated Proteins
ZFP91	4.1009	Secreted Factors
KNG1	2.1395	ECM Regulators
LTBP1	2.3421000000000003	ECM Glycoproteins
LTBP2	5.1926000000000005	ECM Glycoproteins
SEMA4B	2.1424	ECM-affiliated Proteins
S100A9	2.2779	Secreted Factors
COL6A3	2.6448	Collagens
ECM2	2.287	ECM Glycoproteins
FN1	2.6879999999999997	ECM Glycoproteins
MUC1	2.4728	ECM-affiliated Proteins
VTN	3.0796	ECM Glycoproteins
HRNR	3.1489000000000003	Secreted Factors
SERPINC1	2.5371	ECM Regulators
SERPINA10	2.208	ECM Regulators
FBLN1	2.6837999999999997	ECM Glycoproteins
ANXA3	4.8654	ECM-affiliated Proteins
SFTPA1	3.0178000000000003	ECM-affiliated Proteins
IGFBP5	2.2613000000000003	ECM Glycoproteins
SEMA4D	2.5473999999999997	ECM-affiliated Proteins
PRG4	2.7224	Proteoglycans
LGALS1	2.9792	ECM-affiliated Proteins
EMCN	6.1759	ECM-affiliated Proteins
ADAMTSL3	2.5068	ECM Regulators
SPOCK2	6.4983	Proteoglycans
ABI3BP	3.4448	ECM Glycoproteins
LAMA4	3.5016	ECM Glycoproteins
FGB	3.1159	ECM Glycoproteins
COL20A1	3.0857	Collagens
NRG1	3.5472	Secreted Factors
LAMB2	5.8958	ECM Glycoproteins
TGFBI	2.3319	ECM Glycoproteins
F9	2.9370000000000003	ECM Regulators
PARM1	2.4493	ECM-affiliated Proteins
S100A7	3.5019	Secreted Factors
CHRDL1	2.2411	Secreted Factors
VWA3B	3.3155	ECM Glycoproteins
SDC2	10.7887	ECM-affiliated Proteins
TECTA	2.3239	ECM Glycoproteins
FNDC7	3.8289	ECM Glycoproteins
MATN3	3.9971	ECM Glycoproteins
FST	2.6246	Secreted Factors
CRLF1	2.1493	Secreted Factors
IL9	2.1872	Secreted Factors
KY	2.0985	ECM Regulators
GDF9	4.709	Secreted Factors
FREM3	5.73	ECM-affiliated Proteins
