name	prize	Category
ATF2	3.3306750000000003	TF
ATF4	3.3983000000000003	TF
CEBPA	3.559771428571428	TF
CEBPB	3.5147500000000003	TF
CEBPD	3.0402	TF
CEBPZ	5.5854	TF
CIITA	3.979766666666667	TF
CREB1	3.3068666666666666	TF
CREM	2.9379500000000003	TF
CTCF	3.2293	TF
CTNNB1	3.4158999999999997	TF
DNMT1	3.168766666666667	TF
DNMT3A	2.9865500000000003	TF
E2F1	2.74786	TF
EGR1	3.1639222222222223	TF
EGR2	2.59	TF
EP300	3.4035666666666664	TF
EPAS1	2.76375	TF
ERG	4.20432	TF
ETS1	3.9920764705882354	TF
ETS2	4.048785714285715	TF
ETV4	3.800575	TF
EZH2	2.9778000000000002	TF
FLI1	4.3583	TF
FOS	4.50714	TF
FOSL2	3.0876500000000004	TF
FOXA2	3.5169999999999995	TF
FOXO1	2.742	TF
FOXQ1	6.11355	TF
GATA1	2.978	TF
GATA4	2.9861500000000003	TF
GATA6	4.6158	TF
GLI1	3.1331	TF
HDAC1	3.8743499999999997	TF
HDAC2	2.8664	TF
HDAC4	4.19815	TF
HDAC5	2.9822666666666664	TF
HDAC9	4.1976	TF
HIF1A	3.983425	TF
HOXA10	2.8531500000000003	TF
HOXB7	3.8714499999999994	TF
ILF3	3.9082500000000002	TF
ING4	5.8386499999999995	TF
IRF1	3.2609000000000004	TF
JUN	3.785826666666667	TF
JUND	3.1817	TF
KLF5	3.74455	TF
KLF8	3.312	TF
LEF1	3.6347499999999995	TF
MAF	4.19815	TF
MAZ	3.9831333333333334	TF
MYB	3.3302	TF
NCOA3	5.8039499999999995	TF
NFIC	4.2993500000000004	TF
NFKB1	3.4126548387096776	TF
NFKBIA	3.843033333333333	TF
NR3C1	4.369033333333332	TF
PAX5	4.40495	TF
POU2F1	4.241416666666667	TF
POU2F2	5.362499999999999	TF
POU5F1	4.5599333333333325	TF
PPARA	3.211875	TF
PPARD	3.39325	TF
RARA	3.645325	TF
REL	3.2920000000000003	TF
RELA	3.474567741935484	TF
RUNX1	3.52258	TF
RUNX2	4.180540000000001	TF
RUNX3	3.022725	TF
SATB1	2.5277000000000003	TF
SIRT1	3.3617666666666666	TF
SMAD3	3.301325	TF
SNAI2	4.35305	TF
SP1	3.744606666666667	TF
SP3	3.14665	TF
SPDEF	3.15585	TF
SPI1	3.0224	TF
SRF	4.129675	TF
STAT1	3.40475	TF
STAT3	3.49879375	TF
STAT6	3.53988	TF
TCF4	2.4480500000000003	TF
TFAP2A	4.016825	TF
TFCP2	5.068749999999999	TF
USF2	3.114966666666667	TF
VDR	3.4191000000000003	TF
YY1	3.0356	TF
ZFP36	2.7288666666666668	TF
IL16	5.221500000000001	Secreted Factors
SPP1	7.119	ECM Glycoproteins
FGA	3.0344	ECM Glycoproteins
ANXA2	4.8347	ECM-affiliated Proteins
HCFC1	2.0373	Secreted Factors
SPARCL1	3.8479	ECM Glycoproteins
ANXA1	2.3103	ECM-affiliated Proteins
PLG	5.0284	ECM Regulators
COL17A1	6.7165	Collagens
VWA5A	4.7471	ECM Glycoproteins
MXRA5	4.1702	ECM Glycoproteins
TNC	2.6551	ECM Glycoproteins
ANXA5	2.2953	ECM-affiliated Proteins
ZFP91	2.5941	Secreted Factors
KNG1	3.5134	ECM Regulators
ADAM9	2.8158999999999996	ECM Regulators
LTBP1	3.5164999999999997	ECM Glycoproteins
LTBP2	2.2264999999999997	ECM Glycoproteins
SEMA4B	2.0366999999999997	ECM-affiliated Proteins
ADAM17	2.8428	ECM Regulators
VCAN	4.6993	Proteoglycans
HSPG2	4.5352999999999994	Proteoglycans
S100A9	3.9273	Secreted Factors
ECM2	3.7381	ECM Glycoproteins
THBS2	4.355	ECM Glycoproteins
VTN	2.3278	ECM Glycoproteins
S100A11	3.7179	Secreted Factors
SERPINC1	4.1867	ECM Regulators
EGLN1	2.1709	ECM Regulators
ANXA3	5.0479	ECM-affiliated Proteins
SFTPA1	5.2424	ECM-affiliated Proteins
IGFBP5	2.016	ECM Glycoproteins
PRG4	2.375	Proteoglycans
COL3A1	2.8472999999999997	Collagens
EMCN	6.9148	ECM-affiliated Proteins
SERPINB6	2.4715	ECM Regulators
ADAMTSL3	2.0489	ECM Regulators
LAMA4	3.5457	ECM Glycoproteins
S100A13	4.6139	Secreted Factors
CTF1	2.7908	Secreted Factors
ADAMTSL4	3.2992999999999997	ECM Regulators
ANXA11	3.2416	ECM-affiliated Proteins
SERPIND1	2.2168	ECM Regulators
FGB	2.8433	ECM Glycoproteins
POSTN	7.0569	ECM Glycoproteins
PLXNA3	2.8899	ECM-affiliated Proteins
AEBP1	2.3192	ECM Glycoproteins
S100A6	2.9942	Secreted Factors
IGFBP7	2.1414	ECM Glycoproteins
FBN1	3.5478	ECM Glycoproteins
S100A4	2.0587	Secreted Factors
SDC3	2.2889	ECM-affiliated Proteins
VWA3B	4.4249	ECM Glycoproteins
SDC2	6.187799999999999	ECM-affiliated Proteins
VWA3A	2.0859	ECM Glycoproteins
TECTA	3.6142	ECM Glycoproteins
FNDC7	4.6874	ECM Glycoproteins
ITIH1	2.702	ECM Regulators
ANXA7	5.4041	ECM-affiliated Proteins
TCHHL1	3.1428000000000003	Secreted Factors
BMP4	3.1059	Secreted Factors
COL19A1	2.9368	Collagens
IGFBP1	3.7106	ECM Glycoproteins
SULF2	2.2765000000000004	ECM Regulators
SPAM1	4.4863	ECM Regulators
FGF16	10.6399	Secreted Factors
PRG3	10.2453	Proteoglycans
CRLF1	5.2238	Secreted Factors
IL9	4.2112	Secreted Factors
GDF15	2.2448	Secreted Factors
