name	prize	Category	Division
C1QB	2.0324999999999998	ECM-affiliated Proteins	Matrisome-associated
TINAGL1	2.4581999999999997	ECM Glycoproteins	Core matrisome
NTNG1	4.9152000000000005	ECM Glycoproteins	Core matrisome
S100A1	2.3968000000000003	Secreted Factors	Matrisome-associated
HAPLN2	3.0190000000000006	Proteoglycans	Core matrisome
XCL1	2.6267	Secreted Factors	Matrisome-associated
PAPPA2	2.3951000000000002	ECM Regulators	Matrisome-associated
BRINP2	2.8491000000000004	Secreted Factors	Matrisome-associated
PRG4	7.0477	Proteoglycans	Core matrisome
IL19	2.7358999999999996	Secreted Factors	Matrisome-associated
WNT3A	2.3186	Secreted Factors	Matrisome-associated
FCN3	3.2837	ECM-affiliated Proteins	Matrisome-associated
COL8A2	2.2055999999999996	Collagens	Core matrisome
RSPO1	2.7071	ECM Glycoproteins	Core matrisome
COL11A1	7.4931	Collagens	Core matrisome
S100A12	4.1711	Secreted Factors	Matrisome-associated
S100A8	2.3463999999999996	Secreted Factors	Matrisome-associated
S100A5	3.3209	Secreted Factors	Matrisome-associated
S100A3	2.019	Secreted Factors	Matrisome-associated
ITLN1	7.614	ECM-affiliated Proteins	Matrisome-associated
XCL2	2.3516	Secreted Factors	Matrisome-associated
TNR	5.3568999999999996	ECM Glycoproteins	Core matrisome
LAMB3	2.2281	ECM Glycoproteins	Core matrisome
LEFTY2	5.1221000000000005	Secreted Factors	Matrisome-associated
VIT	4.134499999999999	ECM Glycoproteins	Core matrisome
VWA3B	5.8922	ECM Glycoproteins	Core matrisome
FN1	2.7950999999999997	ECM Glycoproteins	Core matrisome
IHH	3.2413999999999996	Secreted Factors	Matrisome-associated
TGM4	3.3726999999999996	ECM Regulators	Matrisome-associated
CLEC3B	4.7268	ECM-affiliated Proteins	Matrisome-associated
SEMA3B	2.2827	ECM-affiliated Proteins	Matrisome-associated
ITIH3	2.7122	ECM Regulators	Matrisome-associated
ZPLD1	3.8513	ECM Glycoproteins	Core matrisome
COL6A5	2.0829999999999997	Collagens	Core matrisome
COL6A6	2.5605	Collagens	Core matrisome
IL12A	2.8231	Secreted Factors	Matrisome-associated
VWA5B2	2.3726	ECM Glycoproteins	Core matrisome
TIMP4	3.9152	ECM Regulators	Matrisome-associated
WNT7A	4.341	Secreted Factors	Matrisome-associated
CSPG5	2.3548	ECM-affiliated Proteins	Matrisome-associated
HYAL1	3.9113999999999995	ECM Regulators	Matrisome-associated
HYAL2	2.0578	ECM Regulators	Matrisome-associated
SEMA3G	2.9048	ECM-affiliated Proteins	Matrisome-associated
ABI3BP	2.2111999999999994	ECM Glycoproteins	Core matrisome
MUC13	5.2066	ECM-affiliated Proteins	Matrisome-associated
KY	3.1122	ECM Regulators	Matrisome-associated
IGSF10	5.4162	ECM Glycoproteins	Core matrisome
SERPINI2	4.4447	ECM Regulators	Matrisome-associated
MASP1	2.9315	ECM Regulators	Matrisome-associated
FGF12	2.5906	Secreted Factors	Matrisome-associated
MUC4	2.8797	ECM-affiliated Proteins	Matrisome-associated
SLIT2	2.0024	ECM Glycoproteins	Core matrisome
CXCL6	5.7986	Secreted Factors	Matrisome-associated
EREG	5.5665	Secreted Factors	Matrisome-associated
AREG	3.5792	Secreted Factors	Matrisome-associated
FRAS1	2.8912999999999998	ECM Glycoproteins	Core matrisome
ANXA3	2.1085	ECM-affiliated Proteins	Matrisome-associated
DMP1	2.3230000000000004	ECM Glycoproteins	Core matrisome
IBSP	2.7016	ECM Glycoproteins	Core matrisome
MEPE	5.019	ECM Glycoproteins	Core matrisome
MMRN1	4.655200000000001	ECM Glycoproteins	Core matrisome
EGF	2.4812000000000003	Secreted Factors	Matrisome-associated
FGF2	2.4641	Secreted Factors	Matrisome-associated
HHIP	3.1018999999999997	Secreted Factors	Matrisome-associated
IGFBP7	2.0798000000000005	ECM Glycoproteins	Core matrisome
EMCN	2.7935999999999996	ECM-affiliated Proteins	Matrisome-associated
FGG	8.7303	ECM Glycoproteins	Core matrisome
ADAMTS16	2.3495	ECM Regulators	Matrisome-associated
MEGF10	2.5452	Secreted Factors	Matrisome-associated
ADAMTS19	3.5121000000000002	ECM Regulators	Matrisome-associated
FGF18	2.4341	Secreted Factors	Matrisome-associated
FGF10	2.3042	Secreted Factors	Matrisome-associated
HAPLN1	4.3718	Proteoglycans	Core matrisome
SEMA6A	2.3428	ECM-affiliated Proteins	Matrisome-associated
CXCL14	3.7037	Secreted Factors	Matrisome-associated
SPOCK1	2.8768000000000002	Proteoglycans	Core matrisome
C1QTNF2	2.5495	ECM-affiliated Proteins	Matrisome-associated
SLIT3	2.3069	ECM Glycoproteins	Core matrisome
MUC21	9.1725	ECM-affiliated Proteins	Matrisome-associated
MUC22	6.809200000000001	ECM-affiliated Proteins	Matrisome-associated
TNF	2.0274	Secreted Factors	Matrisome-associated
COL19A1	2.7422	Collagens	Core matrisome
FNDC1	4.0986	ECM Glycoproteins	Core matrisome
PLG	3.8491000000000004	ECM Regulators	Matrisome-associated
TNXB	3.332	ECM Glycoproteins	Core matrisome
COL12A1	2.6223	Collagens	Core matrisome
COL10A1	2.9040999999999997	Collagens	Core matrisome
IL6	3.605	Secreted Factors	Matrisome-associated
