name	prize	Category	Division
AGRN	2.4185999999999996	ECM Glycoproteins	Core matrisome
CELA2B	2.5642	ECM Regulators	Matrisome-associated
BMP8A	2.1119999999999997	Secreted Factors	Matrisome-associated
NTNG1	3.7602	ECM Glycoproteins	Core matrisome
BCAN	3.5275000000000003	Proteoglycans	Core matrisome
FASLG	2.2222999999999997	Secreted Factors	Matrisome-associated
PRG4	2.0308	Proteoglycans	Core matrisome
WNT3A	2.8758	Secreted Factors	Matrisome-associated
MFAP2	2.0675	ECM Glycoproteins	Core matrisome
FCN3	3.8500999999999994	ECM-affiliated Proteins	Matrisome-associated
RSPO1	2.8556	ECM Glycoproteins	Core matrisome
BMP8B	2.551	Secreted Factors	Matrisome-associated
COL9A2	2.2439	Collagens	Core matrisome
COL11A1	6.5352	Collagens	Core matrisome
S100A12	3.2222999999999997	Secreted Factors	Matrisome-associated
S100A8	2.9723	Secreted Factors	Matrisome-associated
S100A16	2.1449999999999996	Secreted Factors	Matrisome-associated
ITLN1	4.166799999999999	ECM-affiliated Proteins	Matrisome-associated
ITLN2	3.7709	ECM-affiliated Proteins	Matrisome-associated
ADAMTS4	3.649	ECM Regulators	Matrisome-associated
DPT	2.1097	ECM Glycoproteins	Core matrisome
TNR	3.6522999999999994	ECM Glycoproteins	Core matrisome
ANGPTL1	2.2048	Secreted Factors	Matrisome-associated
TPO	3.2967	Secreted Factors	Matrisome-associated
VIT	3.7894	ECM Glycoproteins	Core matrisome
VWA3B	2.3536	ECM Glycoproteins	Core matrisome
COL3A1	2.7577999999999996	Collagens	Core matrisome
WNT6	4.1175	Secreted Factors	Matrisome-associated
WNT10A	4.2514	Secreted Factors	Matrisome-associated
PXDN	2.0923999999999996	ECM Glycoproteins	Core matrisome
SDC1	2.9688999999999997	ECM-affiliated Proteins	Matrisome-associated
C1QL2	7.1439	ECM-affiliated Proteins	Matrisome-associated
IHH	2.576	Secreted Factors	Matrisome-associated
CLEC3B	3.4373	ECM-affiliated Proteins	Matrisome-associated
ZPLD1	3.5721000000000003	ECM Glycoproteins	Core matrisome
COL6A5	2.6875	Collagens	Core matrisome
COL6A6	3.2412	Collagens	Core matrisome
