phos_id,C3N.01799,C3L.01890,C3N.00572,C3N.02423,C3N.02729,C3L.00263,C3N.01410,C3N.00578,C3N.02587,C3L.00893,C3N.01488,C3N.01413,C3N.01030,C3N.02588,C3N.00552,C3L.01889,C3N.00169,C3L.00422,C3L.00083,C3N.00551,C3N.02089,C3L.01682,C3N.01016,C3N.00580,C3N.02000,C3N.01489,C3N.00737,C3N.01405,C3N.01416,C3N.02149,C3N.02424,C3L.00279,C3L.00095,C3N.02572,C3N.00559,C3L.02345,C3L.00093,C3L.00510,C3L.00913,C3L.00412,C3N.01415,C3N.00549,C3N.02433,C3N.01021,C3N.00203,C3L.01330,C3N.00574,C3N.01071,C3N.00550,C3N.00167,C3L.00001,C3L.01632,C3N.02155,C3N.00217,C3N.02002,C3N.02145,C3N.02586,C3L.02219,C3N.00180,C3N.00704,C3N.02158,C3N.02421,C3N.00556,C3N.01072,C3L.00094,C3L.00144,C3N.00223,C3L.01924,C3N.00433,C3L.01683,C3N.00293,C3N.02380,C3L.00009,C3N.00546,C3N.01414,C3N.02087,C3L.00140,C3N.02529,C3L.00368,C3N.02067,C3L.00080,C3N.00547,C3N.01023,C3N.01024,C3L.00973,C3L.02348,C3L.02508,C3N.00560,C3L.00604,C3N.00199,C3N.00579,C3N.02582,C3L.02350,C3N.00738,C3N.00959,C3N.02003,C3N.02379,C3N.00175,C3N.01823,C3L.02549,C3L.02365
NP_001339615.1_S45s _1_1_45_45,NA,NA,NA,NA,0.6294000000000002,-3.0383000000000004,-3.8207,-3.7275,-3.4665999999999997,0.03210000000000002,-3.7708999999999997,-1.813,NA,NA,NA,NA,-2.3235,-1.6763000000000001,-2.4314,-1.9619,-1.9268,0.022199999999999998,-1.8139,-2.0486,NA,NA,NA,NA,-1.2064000000000001,-6.6025,-4.5313,-1.4375,NA,NA,NA,NA,NA,NA,NA,-2.1376999999999997,-3.0347999999999997,-3.6586000000000003,-1.4735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9425,0.1609,-0.3165,-1.4887,NA,NA,NA,NA,-4.9696,-3.3744,0.9083,-4.5228,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.3701,-4.3145,-3.9196,-3.3
NP_001339615.1_S49s _1_0_48_49,-4.2539,-2.8162000000000003,-4.452,-3.4488000000000003,NA,NA,NA,NA,NA,NA,NA,NA,-1.5565,-3.1099,-0.7284,-2.9516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1789,-2.8353,-3.2575,-1.6787,NA,NA,NA,NA,NA,NA,NA,-1.8297999999999999,-2.5623,-2.0346,-1.1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6299,-2.983,-0.5514,-2.403,NA,NA,NA,NA,-3.4889,-1.2434,-2.4199,-4.5187,-1.5975000000000001,-1.6397,-2.1559999999999997,-2.6328,-2.0007
NP_001339615.1_S87s _1_1_87_87,-2.6700999999999997,-1.6223,-1.2841999999999998,-2.2481999999999998,-1.4188999999999998,-0.8833,-3.4291,-2.3938,NA,NA,NA,NA,-7.999999999999119e-4,-2.4268,-1.6205,-1.8367,-3.839,-3.13,-2.4269,-2.1656,-2.0565,-1.8555000000000001,-3.5877,-2.6348,-1.2957999999999998,-3.3884,-2.764,-2.03,-0.0766,-2.2213,-3.9099000000000004,1.6149,0.9234,-2.4611,-3.796,NA,NA,NA,NA,-1.4092,-2.4819,-1.5414,-1.8377000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6743,-3.6603,-0.29500000000000004,-2.6108,NA,NA,NA,NA,-2.1902,-2.7241999999999997,-2.7257,-1.1299000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9948000000000001,-3.3943000000000003,-0.639,-2.8031,-2.6872000000000003,-1.444,-1.6905000000000001,-0.7256,-2.7006,-2.3625999999999996,-3.8903,-1.5066,-2.3
NP_001339615.1_S190s _1_1_190_190,-3.0148,-3.5347,-2.8448,-2.1481,-0.22849999999999993,-2.1534,-2.9747,-1.7152,-4.1032,-1.1483999999999999,-3.4063,-0.36830000000000007,-2.0361000000000002,-3.1924,5.221500000000001,-3.312,-2.8076,-3.8651,-1.1084999999999998,-4.6081,-3.1585,-1.4178,-4.918900000000001,-3.2221,-1.3716000000000002,-1.9518999999999997,-1.3631,-3.7407000000000004,-0.9248000000000001,-5.1455,-4.4309,0.0842,-0.7585,-2.3503,-2.777,-4.3612,-2.8128,-3.1601999999999997,-3.8297,-1.1802,-0.2838,-1.8809,-0.062,-1.2077,-3.4272,-1.714,-1.8518,-2.837,-2.2553,-2.902,-1.0879999999999999,-2.5877,-5.1122,-1.6067,-2.1532999999999998,-1.9744,-2.5215,-2.0485,-1.9201000000000001,-2.1087000000000002,-1.4483000000000001,-0.5052000000000001,-0.7296,-0.9391,-0.5860000000000001,-1.1604,-0.4626,-3.3929,-0.7941,-1.98,-0.8985000000000001,-2.2229,-1.5843,-2.9146,-1.4506000000000001,-3.0473,-3.2126,-0.78,-1.7633,-2.8989,-2.4277,-2.7321,-3.4664,-4.539899999999999,-3.5071,-2.9600999999999997,0.6274,-4.3957999999999995,-2.5524,-1.08,-0.4451,-2.8693999999999997,-2.7897,-2.1683,-2.1961,-2.5715000000000003,-2.2955,-1.2529,-4.9399,-3.8392,-2.1336
NP_001339615.1_S226s _1_1_226_226,-3.9622,-3.1186999999999996,-4.7694,-2.5019,-0.5485,0.07799999999999996,-1.7558,-2.0573,-2.6889000000000003,-1.2696,-2.0842,-1.7278,-2.2271,-4.4995,0.8321000000000001,-2.677,-3.6119,-4.7034,-3.2504,-5.5756,-4.7923,-0.5439,-4.2408,-4.1665,-4.003,-3.289,-2.1122,-4.795299999999999,-1.1543999999999999,-4.4629,-5.3037,-2.4599,-0.9208000000000001,-3.2427,-4.4064,-6.926399999999999,-5.2818000000000005,-3.4656000000000002,-2.9543,-1.4176,-3.0542000000000002,-2.6585,-1.4276,-0.34729999999999994,-3.64,-0.37339999999999995,-3.1032,-2.8387000000000002,-3.1366,-4.4302,-2.4654,-3.4511000000000003,-4.3779,-3.6693000000000002,-2.6322,-3.2605,-4.1957,-4.4428,-4.6014,-2.1006,-2.4694,-0.6777,-2.6685,-3.8822,-5.359,-4.450699999999999,-2.1398,-3.6913,-1.405,-2.3893,-0.48560000000000003,-3.7209000000000003,-1.8714,-5.2842,-1.8363,-3.8327,-3.3070000000000004,-2.2944,-2.2535,-3.1447,-3.4343000000000004,-2.9496000000000002,-3.6444,-3.6576999999999997,-3.0419,-2.7075,-0.6297,-2.6263,-5.5976,-3.4331,-3.8524000000000003,-4.9327,-2.7234000000000003,-0.5622999999999998,-1.3295000000000001,-4.2097999999999995,-4.0855,-1.1953,-5.7463999999999995,-4.4421,-1.9504000000000001
NP_001339615.1_S228s _1_1_228_228,-0.6219000000000001,-4.1692,-3.1310000000000002,-1.4468,-0.8528,-1.6974,-3.4693,-3.7806999999999995,-4.8479,0.5643,-5.628299999999999,-1.5594000000000001,-1.9465000000000001,-5.1384,0.6496999999999999,-2.8743,-3.4445,-3.581,-2.2157999999999998,-4.3216,-3.0473999999999997,-1.8879000000000001,-5.224600000000001,-4.9529,-3.2986000000000004,-2.4638999999999998,-1.4705,-3.8866000000000005,-2.2368,-4.366,-2.9673,-1.8953,0.3777999999999999,-3.4434,-4.2684999999999995,-5.9299,-1.8170000000000002,-3.505,-3.2984999999999998,-1.7567999999999997,0.1601999999999999,-2.8141,-0.8559000000000001,-0.23560000000000003,-4.4559999999999995,-1.3045,-2.4508,NA,NA,NA,NA,-2.981,-4.6746,-1.7855,-2.6161,-1.3559,-2.7988,-2.3769,-4.4887,-1.9265,-2.4011,-2.3327,-3.524,-2.9437,-5.4395,-5.1251,-2.866,-2.0978,-1.1726,-1.8332000000000002,1.5076,-3.2799,-1.8665,-6.205299999999999,-0.9937,-2.57,-2.7586,-2.0210999999999997,-2.2468,-2.5540000000000003,-3.6657,-3.4103000000000003,-4.5649,-4.4461,-3.5022,-4.262,1.8278,-4.2202,-5.3414,-2.3053999999999997,-4.5973,-4.4211,-2.8657999999999997,-0.8073,-1.5752000000000002,-4.0611999999999995,-3.4903,-0.4405,-4.0708,-4.0297,-1.8171
NP_001339615.1_T250t _1_0_249_250,-3.4154,-6.2538,-4.8199,-4.9178999999999995,-1.1636999999999997,-3.6642,-4.4837,-3.2298,-2.7557,0.3107,-2.9991,-2.4557,-1.7205,-4.3358,-1.4063999999999999,-2.557,-3.6117,-3.2232,-3.0888999999999998,-3.7457000000000003,-4.5687,-1.7878,-5.111599999999999,-4.3009,NA,NA,NA,NA,NA,NA,NA,NA,-1.5946,-2.513,-3.1754,-6.1178,-3.9460999999999995,-3.8034,-5.0146999999999995,-2.6713,-2.0223,-0.4034,-1.1472,-1.6198000000000001,-4.4994,-1.8937,-1.9756999999999998,-0.9166999999999998,-1.8458999999999999,-2.9279,-2.2277,-0.8439999999999999,-2.9344,-2.7394,-1.6958,-2.7664,-1.7050999999999998,-1.6856,-2.0138000000000003,-2.591,-2.9416,-2.0852,-2.4922,-3.8333000000000004,-4.5546,-4.1545,-2.9427,-3.9675,-2.1995,-2.0395,-0.2866000000000001,-4.179,-3.5502000000000002,-3.1824000000000003,-1.9447,-2.0957,-3.6010999999999997,-1.9895,-2.6435,-3.0423,-2.9188,-3.6871,-6.519400000000001,-5.0373,-2.851,-2.6795999999999998,0.9038,-2.9655,NA,NA,NA,NA,-1.8802999999999999,-0.48940000000000006,-1.4184,-1.0954000000000002,NA,-0.7501,-1.8334000000000001,-2.1313,-2.9955
NP_001339615.1_S373s _1_1_373_373,-4.0333000000000006,-5.234,-4.4125,-3.9725,-1.0105,-1.6936,-3.6978999999999997,-4.7556,-4.5783000000000005,-1.89,-4.4834000000000005,-2.9429,-0.8537000000000001,-2.0528,1.9510999999999998,-1.9736999999999998,-3.5204,-5.5824,-2.8662,-4.7211,-5.6003,-1.9106999999999998,-4.9788,-3.4314999999999998,NA,NA,NA,NA,-0.797,-3.281,-3.874,-0.8436,1.5298,-3.7828,-4.6851,-7.1401,-3.4343,-5.4154,-4.5763,-1.8516000000000001,-1.0838,-3.9090000000000003,-1.151,-1.5448,-4.1131,-2.6712,-1.7997999999999998,-3.8487,-2.4162000000000003,-4.6015,-1.4941,-3.2606,-4.4162,-3.5019,-2.5879000000000003,-4.3601,-3.6317,-4.2816,-4.2326999999999995,-3.114,-2.7725,-1.1014,-1.5776,-2.9128000000000003,-5.0598,-4.6343,-2.8281,-3.9318999999999997,-3.0263,-2.4686,0.5673,-3.5557999999999996,-3.2016999999999998,-4.925000000000001,-1.1199,-4.152,-4.035,-3.0023,-3.2106,-3.8035,-2.6616,-4.252800000000001,-4.642,-4.6678,-3.5422000000000002,-3.9706,1.1437,-4.7127,NA,NA,NA,NA,-3.425,-1.3957000000000002,-2.1151,-2.5943,-3.8746,-1.9752999999999998,-5.3965,-4.1397,-3.2622
NP_001339615.1_S391s _1_0_389_391,-3.698,-5.188199999999999,-1.1804999999999999,-3.1597,-2.3976,-0.7811,-6.0737000000000005,-2.2896,NA,NA,NA,NA,-2.3286000000000002,-1.8958,-1.3549,-1.0544,NA,NA,NA,NA,-4.0786,-0.8614,-4.0870999999999995,-3.0493,NA,NA,NA,NA,-0.06420000000000003,-4.9504,-2.1287,-3.4797000000000002,-3.2883,-1.2733000000000003,-4.3775,-2.2232000000000003,-5.1128,-4.0509,-4.8288,-1.7105,-3.2011,-3.4652,-2.0756,-2.8508,-3.4722999999999997,-2.2129,-1.0037,-1.9431,-2.174,-1.7912,-2.1844,-4.2703,-3.161,-2.9041,-1.2524,NA,NA,NA,NA,-2.7823,-3.2088,-0.9064000000000001,-3.2526,-3.3138,-2.6572999999999998,-4.8716,-1.9432,-3.7008,-3.1488,-4.2517,-1.1442999999999999,-2.6444,NA,NA,NA,NA,-0.6580999999999999,-3.1460999999999997,-1.8212000000000002,-2.7361,-0.4971,-2.8306,-3.082,-1.1959,-3.6210000000000004,-2.9102,-0.9990999999999999,-3.4589999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP_001339615.1_S522s _1_1_522_522,-3.3040000000000003,-5.4095,-3.3466,-4.4843,-0.9095000000000001,-1.1080999999999999,-4.2946,-4.3187,-4.4206,0.13119999999999998,-3.2933000000000003,-2.4874,-2.4062,-3.8471,-1.8904,-2.1116,-3.8813,-4.2287,-4.2933,-6.615399999999999,-4.242,-0.7545000000000001,-4.2366,-4.524900000000001,-3.7312000000000003,-3.5399,-2.3766000000000003,-4.9559999999999995,-1.4088,-5.8819,-4.4275,-2.0821,-1.0117,-2.8763,-2.6464,-5.768599999999999,-3.7574,-3.1516,-3.5317999999999996,-2.2214,-2.9680999999999997,-2.8296,-1.4759,-1.3572,-4.2999,-1.3956,-3.2569,-1.574,-2.9678,-2.075,-1.7052,-2.9459999999999997,-5.2326999999999995,-3.2952,-2.6134,-1.5468,-2.7406,-3.8566,-5.5175,-3.2953,-3.3884999999999996,-1.5781,-2.2961,-1.9806,-4.1607,-3.7472,-2.0766999999999998,-4.100099999999999,-2.5548,-2.5148,-0.12060000000000004,-2.2382999999999997,-2.2267,-5.270099999999999,-2.7009999999999996,-4.6431,-3.9012,-2.871,-1.7552,-2.7462,-2.8525,-2.5289,-3.2537000000000003,-5.3011,-5.1708,-3.3065999999999995,2.4608,-3.4494,-3.531,-4.4648,-4.173,-4.5988,-2.8094,-1.2656,-1.921,-2.8632,-4.6285,-2.5167,-4.8089,-4.4125,-3.5450999999999997
